year,Alaina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,11
1948,0
1949,7
1950,5
1951,5
1952,0
1953,7
1954,8
1955,11
1956,9
1957,11
1958,15
1959,21
1960,13
1961,22
1962,37
1963,23
1964,49
1965,49
1966,39
1967,62
1968,65
1969,57
1970,74
1971,62
1972,55
1973,49
1974,93
1975,82
1976,52
1977,93
1978,146
1979,195
1980,407
1981,466
1982,458
1983,403
1984,359
1985,406
1986,451
1987,442
1988,480
1989,539
1990,567
1991,523
1992,575
1993,607
1994,662
1995,665
1996,692
1997,640
1998,689
1999,877
2000,1003
2001,1005
2002,1002
2003,1126
2004,1207
2005,1281
2006,1360
2007,1538
2008,1503
2009,1315
2010,1493
2011,1998
2012,1925
