year,Alda
1880,6
1881,11
1882,6
1883,8
1884,17
1885,15
1886,23
1887,23
1888,15
1889,19
1890,20
1891,22
1892,20
1893,30
1894,31
1895,33
1896,23
1897,36
1898,36
1899,39
1900,35
1901,44
1902,35
1903,39
1904,29
1905,37
1906,44
1907,43
1908,39
1909,44
1910,44
1911,57
1912,62
1913,69
1914,91
1915,132
1916,128
1917,163
1918,191
1919,144
1920,129
1921,144
1922,132
1923,145
1924,148
1925,148
1926,104
1927,98
1928,99
1929,98
1930,92
1931,69
1932,71
1933,53
1934,61
1935,73
1936,57
1937,42
1938,51
1939,42
1940,50
1941,46
1942,32
1943,40
1944,31
1945,38
1946,39
1947,41
1948,41
1949,41
1950,30
1951,36
1952,29
1953,37
1954,28
1955,24
1956,24
1957,28
1958,21
1959,25
1960,26
1961,23
1962,15
1963,11
1964,17
1965,11
1966,17
1967,10
1968,19
1969,14
1970,13
1971,22
1972,22
1973,15
1974,11
1975,14
1976,15
1977,8
1978,12
1979,13
1980,10
1981,17
1982,8
1983,12
1984,10
1985,9
1986,11
1987,8
1988,0
1989,10
1990,10
1991,13
1992,11
1993,10
1994,11
1995,10
1996,5
1997,5
1998,5
1999,0
2000,7
2001,0
2002,0
2003,7
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,6
2011,7
2012,5
