year,Amos (F),Amos (M)
1880,0.000000,0.000635
1881,0.000000,0.000529
1882,0.000000,0.000605
1883,0.000000,0.000521
1884,0.000000,0.000563
1885,0.000000,0.000473
1886,0.000000,0.000474
1887,0.000000,0.000420
1888,0.000000,0.000314
1889,0.000000,0.000395
1890,0.000000,0.000378
1891,0.000000,0.000363
1892,0.000000,0.000350
1893,0.000000,0.000323
1894,0.000000,0.000319
1895,0.000000,0.000273
1896,0.000000,0.000308
1897,0.000000,0.000271
1898,0.000000,0.000252
1899,0.000000,0.000233
1900,0.000000,0.000278
1901,0.000000,0.000240
1902,0.000000,0.000246
1903,0.000000,0.000218
1904,0.000000,0.000238
1905,0.000000,0.000241
1906,0.000000,0.000275
1907,0.000000,0.000269
1908,0.000000,0.000244
1909,0.000000,0.000227
1910,0.000000,0.000210
1911,0.000000,0.000261
1912,0.000000,0.000246
1913,0.000000,0.000274
1914,0.000000,0.000259
1915,0.000000,0.000259
1916,0.000000,0.000247
1917,0.000000,0.000230
1918,0.000000,0.000241
1919,0.000000,0.000248
1920,0.000002,0.000218
1921,0.000002,0.000234
1922,0.000000,0.000244
1923,0.000000,0.000220
1924,0.000000,0.000212
1925,0.000000,0.000210
1926,0.000002,0.000198
1927,0.000005,0.000225
1928,0.000002,0.000194
1929,0.000000,0.000172
1930,0.000000,0.000207
1931,0.000000,0.000174
1932,0.000000,0.000180
1933,0.000000,0.000173
1934,0.000000,0.000163
1935,0.000000,0.000144
1936,0.000002,0.000141
1937,0.000000,0.000134
1938,0.000000,0.000135
1939,0.000000,0.000125
1940,0.000002,0.000120
1941,0.000000,0.000114
1942,0.000000,0.000098
1943,0.000000,0.000099
1944,0.000000,0.000106
1945,0.000000,0.000099
1946,0.000000,0.000078
1947,0.000000,0.000085
1948,0.000000,0.000084
1949,0.000000,0.000079
1950,0.000000,0.000081
1951,0.000000,0.000080
1952,0.000000,0.000081
1953,0.000002,0.000080
1954,0.000001,0.000071
1955,0.000001,0.000071
1956,0.000000,0.000061
1957,0.000000,0.000060
1958,0.000000,0.000069
1959,0.000000,0.000063
1960,0.000000,0.000063
1961,0.000000,0.000062
1962,0.000000,0.000057
1963,0.000000,0.000053
1964,0.000000,0.000052
1965,0.000000,0.000062
1966,0.000000,0.000052
1967,0.000000,0.000055
1968,0.000000,0.000046
1969,0.000002,0.000052
1970,0.000000,0.000041
1971,0.000000,0.000061
1972,0.000000,0.000050
1973,0.000000,0.000069
1974,0.000000,0.000073
1975,0.000000,0.000067
1976,0.000000,0.000071
1977,0.000000,0.000079
1978,0.000000,0.000082
1979,0.000000,0.000084
1980,0.000000,0.000076
1981,0.000000,0.000078
1982,0.000000,0.000070
1983,0.000000,0.000066
1984,0.000000,0.000074
1985,0.000000,0.000065
1986,0.000000,0.000059
1987,0.000000,0.000059
1988,0.000000,0.000061
1989,0.000000,0.000046
1990,0.000000,0.000051
1991,0.000000,0.000050
1992,0.000000,0.000048
1993,0.000000,0.000055
1994,0.000000,0.000046
1995,0.000000,0.000043
1996,0.000000,0.000036
1997,0.000000,0.000041
1998,0.000000,0.000039
1999,0.000000,0.000040
2000,0.000000,0.000042
2001,0.000000,0.000042
2002,0.000000,0.000043
2003,0.000000,0.000043
2004,0.000000,0.000042
2005,0.000000,0.000042
2006,0.000000,0.000038
2007,0.000000,0.000051
2008,0.000000,0.000045
2009,0.000000,0.000052
2010,0.000000,0.000048
2011,0.000000,0.000067
2012,0.000000,0.000076
2013,0.000000,0.000079
