year,Alvina
1880,28
1881,29
1882,53
1883,57
1884,53
1885,51
1886,46
1887,66
1888,70
1889,80
1890,80
1891,96
1892,87
1893,89
1894,98
1895,93
1896,114
1897,98
1898,123
1899,103
1900,115
1901,85
1902,86
1903,109
1904,100
1905,98
1906,89
1907,85
1908,109
1909,100
1910,105
1911,117
1912,147
1913,147
1914,194
1915,268
1916,283
1917,293
1918,272
1919,248
1920,253
1921,243
1922,232
1923,210
1924,214
1925,190
1926,163
1927,153
1928,141
1929,143
1930,140
1931,117
1932,104
1933,85
1934,105
1935,96
1936,83
1937,101
1938,80
1939,68
1940,69
1941,67
1942,58
1943,74
1944,59
1945,55
1946,64
1947,59
1948,55
1949,56
1950,56
1951,64
1952,61
1953,42
1954,61
1955,48
1956,52
1957,58
1958,34
1959,50
1960,47
1961,43
1962,22
1963,39
1964,33
1965,24
1966,42
1967,34
1968,25
1969,47
1970,48
1971,53
1972,36
1973,46
1974,34
1975,45
1976,37
1977,47
1978,40
1979,34
1980,50
1981,29
1982,32
1983,26
1984,42
1985,20
1986,26
1987,24
1988,27
1989,36
1990,37
1991,29
1992,31
1993,24
1994,27
1995,25
1996,25
1997,17
1998,24
1999,20
2000,22
2001,23
2002,17
2003,19
2004,24
2005,14
2006,22
2007,19
2008,22
2009,15
2010,17
2011,15
2012,16
