year,Ariel (F),Ariel (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000015,0.000000
1893,0.000000,0.000000
1894,0.000015,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000015,0.000000
1900,0.000011,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000015,0.000000
1905,0.000012,0.000000
1906,0.000019,0.000000
1907,0.000019,0.000000
1908,0.000025,0.000000
1909,0.000014,0.000000
1910,0.000010,0.000000
1911,0.000022,0.000000
1912,0.000009,0.000000
1913,0.000017,0.000004
1914,0.000005,0.000006
1915,0.000013,0.000004
1916,0.000014,0.000004
1917,0.000007,0.000004
1918,0.000012,0.000004
1919,0.000005,0.000000
1920,0.000010,0.000004
1921,0.000007,0.000004
1922,0.000007,0.000005
1923,0.000004,0.000006
1924,0.000005,0.000003
1925,0.000005,0.000000
1926,0.000003,0.000000
1927,0.000005,0.000003
1928,0.000003,0.000004
1929,0.000006,0.000005
1930,0.000004,0.000004
1931,0.000004,0.000004
1932,0.000004,0.000000
1933,0.000004,0.000000
1934,0.000003,0.000003
1935,0.000004,0.000004
1936,0.000005,0.000000
1937,0.000004,0.000004
1938,0.000005,0.000006
1939,0.000003,0.000000
1940,0.000000,0.000000
1941,0.000005,0.000000
1942,0.000003,0.000002
1943,0.000006,0.000000
1944,0.000002,0.000003
1945,0.000003,0.000004
1946,0.000003,0.000002
1947,0.000004,0.000000
1948,0.000001,0.000003
1949,0.000002,0.000002
1950,0.000003,0.000002
1951,0.000002,0.000003
1952,0.000002,0.000003
1953,0.000002,0.000002
1954,0.000002,0.000002
1955,0.000000,0.000001
1956,0.000001,0.000004
1957,0.000003,0.000006
1958,0.000000,0.000004
1959,0.000001,0.000004
1960,0.000003,0.000006
1961,0.000003,0.000008
1962,0.000000,0.000007
1963,0.000002,0.000007
1964,0.000004,0.000009
1965,0.000003,0.000012
1966,0.000003,0.000008
1967,0.000004,0.000017
1968,0.000008,0.000024
1969,0.000009,0.000023
1970,0.000011,0.000023
1971,0.000008,0.000025
1972,0.000010,0.000032
1973,0.000014,0.000034
1974,0.000012,0.000050
1975,0.000020,0.000058
1976,0.000021,0.000058
1977,0.000033,0.000049
1978,0.000051,0.000071
1979,0.000046,0.000065
1980,0.000052,0.000069
1981,0.000066,0.000068
1982,0.000167,0.000084
1983,0.000187,0.000091
1984,0.000182,0.000080
1985,0.000168,0.000081
1986,0.000183,0.000084
1987,0.000173,0.000082
1988,0.000246,0.000093
1989,0.000334,0.000100
1990,0.000912,0.000103
1991,0.001389,0.000171
1992,0.001032,0.000119
1993,0.000718,0.000117
1994,0.000588,0.000119
1995,0.000587,0.000122
1996,0.000528,0.000129
1997,0.000610,0.000122
1998,0.000585,0.000127
1999,0.000497,0.000114
2000,0.000464,0.000102
2001,0.000442,0.000108
2002,0.000414,0.000118
2003,0.000407,0.000102
2004,0.000404,0.000109
2005,0.000408,0.000114
2006,0.000438,0.000145
2007,0.000445,0.000131
2008,0.000395,0.000116
2009,0.000411,0.000125
2010,0.000393,0.000112
2011,0.000394,0.000104
2012,0.000475,0.000081
2013,0.000584,0.000082
