year,Alethia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,5
1897,0
1898,6
1899,6
1900,12
1901,0
1902,5
1903,6
1904,7
1905,7
1906,6
1907,8
1908,12
1909,12
1910,11
1911,12
1912,16
1913,13
1914,13
1915,19
1916,20
1917,17
1918,17
1919,20
1920,15
1921,25
1922,25
1923,25
1924,22
1925,19
1926,23
1927,21
1928,30
1929,14
1930,31
1931,17
1932,15
1933,12
1934,12
1935,15
1936,16
1937,16
1938,22
1939,20
1940,14
1941,18
1942,13
1943,20
1944,19
1945,10
1946,20
1947,22
1948,19
1949,12
1950,31
1951,26
1952,26
1953,25
1954,34
1955,13
1956,24
1957,21
1958,15
1959,22
1960,20
1961,27
1962,31
1963,34
1964,31
1965,28
1966,20
1967,34
1968,56
1969,31
1970,40
1971,29
1972,27
1973,74
1974,46
1975,22
1976,29
1977,25
1978,32
1979,25
1980,21
1981,30
1982,31
1983,21
1984,23
1985,18
1986,23
1987,21
1988,20
1989,24
1990,16
1991,16
1992,22
1993,15
1994,9
1995,17
1996,13
1997,23
1998,12
1999,12
2000,15
2001,17
2002,12
2003,12
2004,16
2005,15
2006,18
2007,21
2008,17
2009,22
2010,19
2011,12
2012,29
