year,Anton (F),Anton (M)
1880,0.000000,0.000382
1881,0.000000,0.000296
1882,0.000000,0.000289
1883,0.000000,0.000290
1884,0.000000,0.000263
1885,0.000000,0.000307
1886,0.000000,0.000243
1887,0.000000,0.000271
1888,0.000000,0.000240
1889,0.000000,0.000256
1890,0.000000,0.000242
1891,0.000000,0.000178
1892,0.000000,0.000212
1893,0.000000,0.000231
1894,0.000000,0.000189
1895,0.000000,0.000179
1896,0.000000,0.000129
1897,0.000000,0.000124
1898,0.000000,0.000134
1899,0.000000,0.000153
1900,0.000000,0.000129
1901,0.000000,0.000145
1902,0.000000,0.000137
1903,0.000000,0.000147
1904,0.000000,0.000112
1905,0.000000,0.000130
1906,0.000000,0.000103
1907,0.000000,0.000112
1908,0.000000,0.000129
1909,0.000000,0.000119
1910,0.000000,0.000125
1911,0.000000,0.000120
1912,0.000000,0.000161
1913,0.000000,0.000190
1914,0.000000,0.000202
1915,0.000000,0.000195
1916,0.000000,0.000173
1917,0.000000,0.000171
1918,0.000000,0.000145
1919,0.000000,0.000155
1920,0.000000,0.000114
1921,0.000000,0.000112
1922,0.000000,0.000107
1923,0.000000,0.000097
1924,0.000000,0.000085
1925,0.000000,0.000078
1926,0.000000,0.000084
1927,0.000000,0.000071
1928,0.000000,0.000072
1929,0.000000,0.000071
1930,0.000000,0.000066
1931,0.000000,0.000071
1932,0.000000,0.000065
1933,0.000000,0.000070
1934,0.000000,0.000054
1935,0.000000,0.000050
1936,0.000000,0.000052
1937,0.000000,0.000058
1938,0.000000,0.000061
1939,0.000000,0.000048
1940,0.000000,0.000046
1941,0.000000,0.000048
1942,0.000000,0.000039
1943,0.000000,0.000046
1944,0.000000,0.000044
1945,0.000000,0.000043
1946,0.000000,0.000037
1947,0.000000,0.000033
1948,0.000000,0.000027
1949,0.000000,0.000031
1950,0.000000,0.000035
1951,0.000000,0.000033
1952,0.000000,0.000035
1953,0.000000,0.000028
1954,0.000000,0.000030
1955,0.000000,0.000037
1956,0.000000,0.000029
1957,0.000000,0.000032
1958,0.000000,0.000031
1959,0.000000,0.000034
1960,0.000000,0.000037
1961,0.000000,0.000028
1962,0.000000,0.000035
1963,0.000000,0.000040
1964,0.000000,0.000039
1965,0.000000,0.000031
1966,0.000000,0.000036
1967,0.000000,0.000054
1968,0.000000,0.000055
1969,0.000000,0.000061
1970,0.000000,0.000058
1971,0.000000,0.000056
1972,0.000000,0.000068
1973,0.000003,0.000066
1974,0.000000,0.000059
1975,0.000000,0.000078
1976,0.000000,0.000062
1977,0.000000,0.000055
1978,0.000000,0.000059
1979,0.000000,0.000090
1980,0.000000,0.000082
1981,0.000000,0.000068
1982,0.000000,0.000069
1983,0.000001,0.000077
1984,0.000000,0.000065
1985,0.000000,0.000063
1986,0.000002,0.000061
1987,0.000000,0.000060
1988,0.000000,0.000063
1989,0.000000,0.000057
1990,0.000000,0.000070
1991,0.000000,0.000060
1992,0.000000,0.000058
1993,0.000000,0.000051
1994,0.000000,0.000085
1995,0.000000,0.000090
1996,0.000000,0.000060
1997,0.000000,0.000061
1998,0.000000,0.000069
1999,0.000000,0.000068
2000,0.000000,0.000066
2001,0.000000,0.000069
2002,0.000000,0.000078
2003,0.000000,0.000066
2004,0.000000,0.000064
2005,0.000000,0.000070
2006,0.000000,0.000076
2007,0.000000,0.000062
2008,0.000000,0.000066
2009,0.000000,0.000054
2010,0.000000,0.000052
2011,0.000000,0.000052
2012,0.000000,0.000056
