year,Adria
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,6
1912,6
1913,6
1914,8
1915,8
1916,10
1917,8
1918,10
1919,10
1920,9
1921,13
1922,5
1923,9
1924,8
1925,7
1926,8
1927,0
1928,7
1929,5
1930,6
1931,7
1932,0
1933,6
1934,6
1935,7
1936,10
1937,6
1938,6
1939,10
1940,9
1941,0
1942,16
1943,17
1944,14
1945,23
1946,17
1947,32
1948,24
1949,27
1950,37
1951,25
1952,22
1953,35
1954,35
1955,46
1956,34
1957,44
1958,35
1959,27
1960,28
1961,42
1962,38
1963,29
1964,34
1965,42
1966,36
1967,52
1968,45
1969,91
1970,97
1971,128
1972,99
1973,102
1974,124
1975,151
1976,127
1977,143
1978,161
1979,164
1980,161
1981,151
1982,148
1983,136
1984,137
1985,123
1986,107
1987,100
1988,92
1989,104
1990,68
1991,102
1992,100
1993,89
1994,81
1995,66
1996,66
1997,73
1998,65
1999,76
2000,67
2001,68
2002,93
2003,100
2004,97
2005,112
2006,96
2007,81
2008,108
2009,110
2010,80
2011,78
2012,70
