year,Antonio (F),Antonio (M)
1880,0.000000,0.000129
1881,0.000000,0.000135
1882,0.000000,0.000131
1883,0.000000,0.000138
1884,0.000000,0.000140
1885,0.000000,0.000112
1886,0.000000,0.000125
1887,0.000000,0.000154
1888,0.000000,0.000157
1889,0.000000,0.000107
1890,0.000000,0.000113
1891,0.000000,0.000108
1892,0.000000,0.000093
1893,0.000000,0.000098
1894,0.000000,0.000071
1895,0.000000,0.000103
1896,0.000000,0.000098
1897,0.000000,0.000095
1898,0.000000,0.000113
1899,0.000000,0.000121
1900,0.000000,0.000167
1901,0.000000,0.000150
1902,0.000000,0.000248
1903,0.000000,0.000189
1904,0.000000,0.000169
1905,0.000000,0.000172
1906,0.000000,0.000187
1907,0.000000,0.000271
1908,0.000000,0.000203
1909,0.000000,0.000235
1910,0.000000,0.000267
1911,0.000000,0.000258
1912,0.000000,0.000273
1913,0.000000,0.000272
1914,0.000000,0.000276
1915,0.000003,0.000288
1916,0.000003,0.000285
1917,0.000002,0.000289
1918,0.000002,0.000271
1919,0.000003,0.000274
1920,0.000005,0.000312
1921,0.000005,0.000319
1922,0.000005,0.000290
1923,0.000006,0.000317
1924,0.000006,0.000290
1925,0.000005,0.000298
1926,0.000005,0.000318
1927,0.000007,0.000301
1928,0.000008,0.000331
1929,0.000005,0.000335
1930,0.000006,0.000331
1931,0.000006,0.000297
1932,0.000005,0.000257
1933,0.000007,0.000237
1934,0.000000,0.000237
1935,0.000003,0.000240
1936,0.000002,0.000236
1937,0.000004,0.000209
1938,0.000000,0.000219
1939,0.000002,0.000197
1940,0.000000,0.000200
1941,0.000002,0.000182
1942,0.000002,0.000190
1943,0.000002,0.000201
1944,0.000003,0.000186
1945,0.000003,0.000221
1946,0.000003,0.000209
1947,0.000000,0.000203
1948,0.000004,0.000224
1949,0.000003,0.000243
1950,0.000003,0.000264
1951,0.000002,0.000248
1952,0.000002,0.000283
1953,0.000003,0.000287
1954,0.000002,0.000292
1955,0.000002,0.000299
1956,0.000002,0.000301
1957,0.000002,0.000315
1958,0.000004,0.000317
1959,0.000005,0.000330
1960,0.000003,0.000360
1961,0.000004,0.000382
1962,0.000004,0.000440
1963,0.000005,0.000429
1964,0.000009,0.000451
1965,0.000007,0.000490
1966,0.000005,0.000550
1967,0.000007,0.000584
1968,0.000009,0.000635
1969,0.000005,0.000702
1970,0.000008,0.000760
1971,0.000013,0.000859
1972,0.000012,0.000961
1973,0.000012,0.000980
1974,0.000019,0.001045
1975,0.000018,0.001153
1976,0.000019,0.001243
1977,0.000016,0.001151
1978,0.000015,0.001159
1979,0.000013,0.001142
1980,0.000016,0.001187
1981,0.000012,0.001134
1982,0.000017,0.001107
1983,0.000013,0.001063
1984,0.000013,0.001112
1985,0.000013,0.001162
1986,0.000017,0.001238
1987,0.000016,0.001226
1988,0.000014,0.001208
1989,0.000011,0.001227
1990,0.000008,0.001231
1991,0.000010,0.001185
1992,0.000008,0.001131
1993,0.000009,0.001141
1994,0.000007,0.001122
1995,0.000005,0.001185
1996,0.000004,0.001334
1997,0.000006,0.001398
1998,0.000004,0.001345
1999,0.000005,0.001362
2000,0.000005,0.001294
2001,0.000004,0.001266
2002,0.000002,0.001265
2003,0.000004,0.001241
2004,0.000004,0.001267
2005,0.000003,0.001221
2006,0.000001,0.001187
2007,0.000002,0.001160
2008,0.000002,0.001114
2009,0.000001,0.001024
2010,0.000003,0.000956
2011,0.000000,0.000908
2012,0.000000,0.000852
2013,0.000000,0.000833
