year,Alford
1880,14
1881,17
1882,16
1883,13
1884,17
1885,11
1886,17
1887,9
1888,15
1889,10
1890,16
1891,10
1892,20
1893,10
1894,10
1895,7
1896,7
1897,16
1898,12
1899,19
1900,22
1901,9
1902,17
1903,21
1904,10
1905,17
1906,16
1907,16
1908,29
1909,14
1910,18
1911,30
1912,40
1913,41
1914,45
1915,72
1916,68
1917,72
1918,62
1919,90
1920,82
1921,88
1922,86
1923,93
1924,90
1925,101
1926,86
1927,89
1928,94
1929,93
1930,106
1931,72
1932,75
1933,66
1934,84
1935,83
1936,89
1937,76
1938,68
1939,59
1940,69
1941,72
1942,87
1943,74
1944,68
1945,55
1946,69
1947,55
1948,69
1949,79
1950,64
1951,60
1952,67
1953,73
1954,77
1955,69
1956,54
1957,42
1958,39
1959,55
1960,48
1961,45
1962,34
1963,34
1964,42
1965,27
1966,34
1967,32
1968,26
1969,21
1970,34
1971,20
1972,26
1973,32
1974,19
1975,29
1976,11
1977,21
1978,18
1979,15
1980,23
1981,26
1982,15
1983,16
1984,21
1985,13
1986,12
1987,11
1988,14
1989,9
1990,8
1991,16
1992,10
1993,8
1994,11
1995,6
1996,5
1997,8
1998,0
1999,9
2000,5
2001,5
2002,7
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
