year,Adrina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,8
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,9
1958,6
1959,5
1960,11
1961,6
1962,8
1963,0
1964,0
1965,5
1966,5
1967,12
1968,13
1969,11
1970,17
1971,11
1972,8
1973,13
1974,13
1975,12
1976,12
1977,15
1978,11
1979,12
1980,23
1981,22
1982,10
1983,16
1984,14
1985,18
1986,17
1987,30
1988,22
1989,27
1990,23
1991,31
1992,19
1993,17
1994,19
1995,18
1996,27
1997,23
1998,20
1999,19
2000,19
2001,14
2002,19
2003,28
2004,38
2005,36
2006,37
2007,67
2008,64
2009,66
2010,66
2011,69
2012,66
