year,Arnold (F),Arnold (M)
1880,0.000000,0.000184
1881,0.000000,0.000150
1882,0.000000,0.000190
1883,0.000000,0.000194
1884,0.000000,0.000201
1885,0.000000,0.000137
1886,0.000000,0.000161
1887,0.000000,0.000154
1888,0.000000,0.000170
1889,0.000000,0.000145
1890,0.000000,0.000173
1891,0.000000,0.000199
1892,0.000000,0.000239
1893,0.000000,0.000246
1894,0.000000,0.000233
1895,0.000000,0.000273
1896,0.000000,0.000285
1897,0.000000,0.000297
1898,0.000000,0.000294
1899,0.000000,0.000289
1900,0.000000,0.000271
1901,0.000000,0.000318
1902,0.000000,0.000277
1903,0.000000,0.000352
1904,0.000000,0.000369
1905,0.000000,0.000340
1906,0.000000,0.000383
1907,0.000000,0.000380
1908,0.000000,0.000413
1909,0.000000,0.000464
1910,0.000000,0.000437
1911,0.000000,0.000540
1912,0.000007,0.000776
1913,0.000006,0.000908
1914,0.000008,0.000829
1915,0.000006,0.000922
1916,0.000006,0.000961
1917,0.000006,0.000887
1918,0.000008,0.000880
1919,0.000005,0.000837
1920,0.000004,0.000844
1921,0.000009,0.000850
1922,0.000008,0.000828
1923,0.000005,0.000836
1924,0.000007,0.000845
1925,0.000006,0.000846
1926,0.000008,0.000818
1927,0.000008,0.000862
1928,0.000007,0.000874
1929,0.000010,0.000903
1930,0.000005,0.000875
1931,0.000008,0.000872
1932,0.000007,0.000862
1933,0.000009,0.000875
1934,0.000005,0.000858
1935,0.000003,0.000899
1936,0.000005,0.000824
1937,0.000007,0.000810
1938,0.000000,0.000822
1939,0.000003,0.000734
1940,0.000005,0.000685
1941,0.000002,0.000656
1942,0.000004,0.000617
1943,0.000000,0.000603
1944,0.000003,0.000543
1945,0.000002,0.000529
1946,0.000003,0.000492
1947,0.000002,0.000499
1948,0.000001,0.000474
1949,0.000002,0.000457
1950,0.000001,0.000430
1951,0.000000,0.000388
1952,0.000002,0.000386
1953,0.000002,0.000360
1954,0.000003,0.000322
1955,0.000002,0.000327
1956,0.000003,0.000295
1957,0.000000,0.000303
1958,0.000000,0.000274
1959,0.000002,0.000286
1960,0.000002,0.000290
1961,0.000002,0.000279
1962,0.000000,0.000286
1963,0.000002,0.000288
1964,0.000002,0.000268
1965,0.000001,0.000261
1966,0.000002,0.000234
1967,0.000000,0.000229
1968,0.000000,0.000195
1969,0.000001,0.000176
1970,0.000001,0.000158
1971,0.000000,0.000146
1972,0.000000,0.000151
1973,0.000002,0.000129
1974,0.000000,0.000109
1975,0.000000,0.000106
1976,0.000000,0.000100
1977,0.000002,0.000088
1978,0.000000,0.000079
1979,0.000000,0.000083
1980,0.000000,0.000080
1981,0.000000,0.000075
1982,0.000000,0.000076
1983,0.000000,0.000074
1984,0.000000,0.000073
1985,0.000000,0.000054
1986,0.000000,0.000068
1987,0.000000,0.000075
1988,0.000000,0.000073
1989,0.000000,0.000075
1990,0.000000,0.000083
1991,0.000000,0.000083
1992,0.000000,0.000081
1993,0.000000,0.000087
1994,0.000000,0.000071
1995,0.000000,0.000064
1996,0.000000,0.000066
1997,0.000000,0.000068
1998,0.000000,0.000064
1999,0.000000,0.000051
2000,0.000000,0.000058
2001,0.000000,0.000058
2002,0.000000,0.000048
2003,0.000000,0.000056
2004,0.000000,0.000050
2005,0.000000,0.000040
2006,0.000000,0.000034
2007,0.000000,0.000034
2008,0.000000,0.000032
2009,0.000000,0.000033
2010,0.000000,0.000024
2011,0.000000,0.000031
2012,0.000000,0.000024
2013,0.000000,0.000026
