year,Amador
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,8
1909,0
1910,0
1911,0
1912,6
1913,7
1914,9
1915,9
1916,10
1917,11
1918,9
1919,10
1920,17
1921,19
1922,18
1923,34
1924,24
1925,34
1926,25
1927,26
1928,37
1929,33
1930,32
1931,29
1932,20
1933,30
1934,20
1935,32
1936,22
1937,24
1938,28
1939,22
1940,21
1941,21
1942,33
1943,41
1944,22
1945,30
1946,23
1947,33
1948,36
1949,31
1950,24
1951,26
1952,47
1953,31
1954,32
1955,25
1956,29
1957,39
1958,22
1959,24
1960,29
1961,31
1962,30
1963,34
1964,22
1965,26
1966,26
1967,27
1968,37
1969,30
1970,26
1971,36
1972,42
1973,41
1974,37
1975,40
1976,42
1977,38
1978,32
1979,49
1980,47
1981,37
1982,34
1983,27
1984,24
1985,42
1986,35
1987,33
1988,34
1989,35
1990,37
1991,40
1992,52
1993,42
1994,39
1995,38
1996,47
1997,50
1998,33
1999,47
2000,48
2001,46
2002,29
2003,37
2004,30
2005,28
2006,32
2007,45
2008,26
2009,18
2010,37
2011,36
2012,20
