year,Anselmo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,6
1912,11
1913,7
1914,17
1915,19
1916,14
1917,18
1918,12
1919,23
1920,21
1921,34
1922,30
1923,19
1924,26
1925,33
1926,21
1927,37
1928,25
1929,20
1930,35
1931,25
1932,34
1933,30
1934,26
1935,26
1936,18
1937,19
1938,15
1939,20
1940,9
1941,14
1942,17
1943,22
1944,20
1945,29
1946,22
1947,26
1948,26
1949,30
1950,32
1951,29
1952,28
1953,29
1954,24
1955,30
1956,28
1957,37
1958,27
1959,34
1960,36
1961,26
1962,20
1963,19
1964,17
1965,38
1966,24
1967,18
1968,31
1969,20
1970,24
1971,24
1972,31
1973,27
1974,27
1975,30
1976,19
1977,30
1978,22
1979,38
1980,33
1981,28
1982,38
1983,25
1984,20
1985,23
1986,23
1987,34
1988,21
1989,28
1990,41
1991,29
1992,30
1993,32
1994,31
1995,24
1996,29
1997,28
1998,29
1999,26
2000,27
2001,30
2002,27
2003,29
2004,33
2005,31
2006,30
2007,22
2008,27
2009,22
2010,15
2011,9
2012,13
