year,Avalon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,9
1916,8
1917,0
1918,9
1919,0
1920,11
1921,43
1922,23
1923,22
1924,19
1925,13
1926,18
1927,11
1928,14
1929,20
1930,16
1931,13
1932,19
1933,7
1934,9
1935,10
1936,10
1937,17
1938,12
1939,20
1940,5
1941,5
1942,7
1943,0
1944,5
1945,0
1946,0
1947,7
1948,0
1949,5
1950,0
1951,5
1952,7
1953,0
1954,0
1955,0
1956,9
1957,9
1958,8
1959,5
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,8
1983,6
1984,7
1985,14
1986,19
1987,27
1988,21
1989,21
1990,22
1991,38
1992,51
1993,43
1994,58
1995,44
1996,53
1997,56
1998,47
1999,64
2000,69
2001,82
2002,95
2003,97
2004,105
2005,98
2006,135
2007,131
2008,132
2009,146
2010,126
2011,119
2012,104
