year,Aili
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,6
1905,8
1906,13
1907,14
1908,0
1909,22
1910,20
1911,13
1912,13
1913,19
1914,27
1915,25
1916,25
1917,25
1918,36
1919,17
1920,23
1921,16
1922,16
1923,13
1924,7
1925,7
1926,0
1927,0
1928,5
1929,0
1930,7
1931,0
1932,5
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,6
1961,0
1962,0
1963,0
1964,5
1965,0
1966,0
1967,0
1968,0
1969,0
1970,6
1971,0
1972,0
1973,0
1974,0
1975,0
1976,6
1977,0
1978,0
1979,0
1980,7
1981,5
1982,0
1983,0
1984,0
1985,0
1986,6
1987,8
1988,12
1989,6
1990,7
1991,5
1992,7
1993,8
1994,9
1995,6
1996,10
1997,10
1998,12
1999,21
2000,13
2001,15
2002,30
2003,28
2004,32
2005,27
2006,28
2007,40
2008,40
2009,45
2010,38
2011,35
2012,36
