year,Alita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,10
1915,8
1916,6
1917,10
1918,8
1919,0
1920,6
1921,9
1922,10
1923,7
1924,6
1925,10
1926,11
1927,8
1928,13
1929,14
1930,9
1931,9
1932,11
1933,9
1934,10
1935,7
1936,8
1937,6
1938,8
1939,10
1940,16
1941,13
1942,11
1943,0
1944,14
1945,9
1946,14
1947,17
1948,17
1949,14
1950,23
1951,19
1952,13
1953,12
1954,13
1955,32
1956,24
1957,35
1958,25
1959,27
1960,23
1961,23
1962,30
1963,29
1964,30
1965,29
1966,30
1967,31
1968,23
1969,28
1970,21
1971,31
1972,17
1973,32
1974,29
1975,26
1976,21
1977,21
1978,23
1979,24
1980,25
1981,28
1982,21
1983,30
1984,17
1985,13
1986,12
1987,12
1988,26
1989,18
1990,25
1991,14
1992,15
1993,20
1994,15
1995,10
1996,12
1997,13
1998,6
1999,12
2000,23
2001,14
2002,18
2003,20
2004,20
2005,32
2006,26
2007,16
2008,11
2009,12
2010,11
2011,21
2012,16
