year,Aniela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,7
1914,7
1915,8
1916,11
1917,6
1918,13
1919,7
1920,9
1921,5
1922,0
1923,0
1924,9
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,7
1978,0
1979,0
1980,7
1981,5
1982,5
1983,0
1984,7
1985,5
1986,9
1987,5
1988,5
1989,0
1990,5
1991,7
1992,5
1993,5
1994,11
1995,7
1996,0
1997,6
1998,10
1999,9
2000,10
2001,16
2002,21
2003,21
2004,20
2005,40
2006,49
2007,48
2008,39
2009,51
2010,52
2011,33
2012,52
