year,Abbe
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,10
1951,20
1952,37
1953,28
1954,32
1955,47
1956,40
1957,77
1958,78
1959,48
1960,46
1961,28
1962,38
1963,22
1964,37
1965,30
1966,22
1967,26
1968,22
1969,21
1970,20
1971,21
1972,14
1973,20
1974,12
1975,16
1976,10
1977,19
1978,24
1979,29
1980,37
1981,26
1982,14
1983,23
1984,15
1985,21
1986,19
1987,19
1988,11
1989,14
1990,20
1991,14
1992,11
1993,14
1994,10
1995,10
1996,11
1997,12
1998,9
1999,13
2000,20
2001,14
2002,5
2003,7
2004,13
2005,15
2006,0
2007,0
2008,6
2009,12
2010,5
2011,0
2012,0
