year,Argelia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,5
1933,0
1934,0
1935,0
1936,0
1937,0
1938,6
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,7
1949,7
1950,0
1951,5
1952,0
1953,5
1954,5
1955,0
1956,7
1957,9
1958,5
1959,8
1960,12
1961,5
1962,10
1963,14
1964,8
1965,6
1966,0
1967,5
1968,8
1969,5
1970,6
1971,15
1972,14
1973,24
1974,14
1975,17
1976,11
1977,20
1978,25
1979,12
1980,16
1981,14
1982,13
1983,15
1984,17
1985,16
1986,10
1987,9
1988,11
1989,16
1990,23
1991,18
1992,25
1993,16
1994,14
1995,18
1996,22
1997,18
1998,12
1999,11
2000,12
2001,18
2002,8
2003,14
2004,13
2005,23
2006,25
2007,14
2008,15
2009,12
2010,9
2011,8
2012,5
