year,Adolphus (F),Adolphus (M)
1880,0.000000,0.000084
1881,0.000000,0.000109
1882,0.000000,0.000063
1883,0.000000,0.000088
1884,0.000000,0.000070
1885,0.000000,0.000100
1886,0.000000,0.000074
1887,0.000000,0.000077
1888,0.000000,0.000060
1889,0.000000,0.000073
1890,0.000000,0.000050
1891,0.000000,0.000049
1892,0.000000,0.000057
1893,0.000000,0.000086
1894,0.000000,0.000032
1895,0.000000,0.000063
1896,0.000000,0.000059
1897,0.000000,0.000043
1898,0.000000,0.000058
1899,0.000000,0.000032
1900,0.000000,0.000042
1901,0.000000,0.000032
1902,0.000000,0.000031
1903,0.000000,0.000034
1904,0.000000,0.000042
1905,0.000000,0.000045
1906,0.000000,0.000042
1907,0.000000,0.000030
1908,0.000000,0.000027
1909,0.000000,0.000025
1910,0.000000,0.000047
1911,0.000000,0.000034
1912,0.000000,0.000041
1913,0.000000,0.000026
1914,0.000000,0.000035
1915,0.000000,0.000035
1916,0.000000,0.000035
1917,0.000000,0.000039
1918,0.000000,0.000036
1919,0.000000,0.000034
1920,0.000000,0.000032
1921,0.000000,0.000029
1922,0.000000,0.000037
1923,0.000000,0.000032
1924,0.000000,0.000029
1925,0.000000,0.000021
1926,0.000000,0.000023
1927,0.000000,0.000028
1928,0.000000,0.000023
1929,0.000000,0.000025
1930,0.000000,0.000025
1931,0.000000,0.000028
1932,0.000000,0.000032
1933,0.000000,0.000024
1934,0.000000,0.000024
1935,0.000000,0.000026
1936,0.000000,0.000022
1937,0.000000,0.000019
1938,0.000000,0.000025
1939,0.000000,0.000022
1940,0.000000,0.000022
1941,0.000000,0.000026
1942,0.000000,0.000017
1943,0.000000,0.000013
1944,0.000000,0.000017
1945,0.000000,0.000014
1946,0.000000,0.000012
1947,0.000000,0.000012
1948,0.000000,0.000014
1949,0.000000,0.000019
1950,0.000000,0.000015
1951,0.000000,0.000013
1952,0.000000,0.000016
1953,0.000000,0.000011
1954,0.000000,0.000012
1955,0.000000,0.000016
1956,0.000000,0.000009
1957,0.000000,0.000012
1958,0.000000,0.000012
1959,0.000000,0.000012
1960,0.000000,0.000011
1961,0.000000,0.000010
1962,0.000000,0.000009
1963,0.000000,0.000009
1964,0.000000,0.000007
1965,0.000000,0.000009
1966,0.000000,0.000009
1967,0.000000,0.000006
1968,0.000000,0.000008
1969,0.000000,0.000008
1970,0.000000,0.000006
1971,0.000000,0.000007
1972,0.000000,0.000008
1973,0.000000,0.000006
1974,0.000000,0.000007
1975,0.000000,0.000008
1976,0.000000,0.000005
1977,0.000000,0.000005
1978,0.000000,0.000004
1979,0.000000,0.000005
1980,0.000000,0.000007
1981,0.000000,0.000004
1982,0.000000,0.000006
1983,0.000000,0.000003
1984,0.000000,0.000004
1985,0.000000,0.000006
1986,0.000000,0.000005
1987,0.000000,0.000004
1988,0.000000,0.000005
1989,0.000000,0.000005
1990,0.000000,0.000003
1991,0.000000,0.000002
1992,0.000000,0.000004
1993,0.000000,0.000003
1994,0.000000,0.000005
1995,0.000000,0.000004
1996,0.000000,0.000002
1997,0.000000,0.000002
1998,0.000000,0.000003
1999,0.000000,0.000003
2000,0.000000,0.000003
2001,0.000000,0.000003
2002,0.000000,0.000000
2003,0.000000,0.000002
2004,0.000000,0.000003
2005,0.000000,0.000002
2006,0.000000,0.000002
2007,0.000000,0.000002
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000002
2013,0.000000,0.000000
