year,Anetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,5
1916,8
1917,7
1918,6
1919,9
1920,7
1921,7
1922,10
1923,10
1924,7
1925,6
1926,7
1927,7
1928,0
1929,7
1930,5
1931,6
1932,8
1933,7
1934,8
1935,12
1936,11
1937,8
1938,9
1939,10
1940,8
1941,11
1942,9
1943,10
1944,10
1945,8
1946,10
1947,9
1948,11
1949,7
1950,0
1951,6
1952,10
1953,10
1954,11
1955,7
1956,8
1957,12
1958,13
1959,13
1960,7
1961,0
1962,18
1963,12
1964,12
1965,11
1966,13
1967,12
1968,9
1969,10
1970,6
1971,10
1972,5
1973,6
1974,6
1975,0
1976,11
1977,5
1978,0
1979,0
1980,0
1981,0
1982,5
1983,9
1984,5
1985,5
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
