year,Adolfo (F),Adolfo (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000032
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000000
1889,0.000000,0.000024
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000024
1893,0.000000,0.000015
1894,0.000000,0.000018
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000014
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000017
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000026
1906,0.000000,0.000019
1907,0.000000,0.000021
1908,0.000000,0.000014
1909,0.000000,0.000012
1910,0.000000,0.000022
1911,0.000000,0.000014
1912,0.000000,0.000013
1913,0.000000,0.000016
1914,0.000000,0.000018
1915,0.000000,0.000020
1916,0.000000,0.000015
1917,0.000000,0.000012
1918,0.000000,0.000017
1919,0.000000,0.000019
1920,0.000000,0.000020
1921,0.000000,0.000018
1922,0.000000,0.000023
1923,0.000000,0.000022
1924,0.000000,0.000030
1925,0.000000,0.000030
1926,0.000000,0.000039
1927,0.000000,0.000039
1928,0.000000,0.000043
1929,0.000000,0.000044
1930,0.000000,0.000040
1931,0.000000,0.000035
1932,0.000000,0.000032
1933,0.000000,0.000033
1934,0.000000,0.000032
1935,0.000000,0.000036
1936,0.000000,0.000021
1937,0.000000,0.000028
1938,0.000000,0.000028
1939,0.000000,0.000032
1940,0.000000,0.000030
1941,0.000000,0.000030
1942,0.000000,0.000026
1943,0.000000,0.000027
1944,0.000000,0.000024
1945,0.000000,0.000023
1946,0.000000,0.000020
1947,0.000000,0.000023
1948,0.000000,0.000029
1949,0.000000,0.000029
1950,0.000000,0.000025
1951,0.000000,0.000022
1952,0.000000,0.000019
1953,0.000000,0.000022
1954,0.000000,0.000022
1955,0.000000,0.000022
1956,0.000000,0.000024
1957,0.000000,0.000023
1958,0.000000,0.000025
1959,0.000000,0.000026
1960,0.000000,0.000029
1961,0.000000,0.000026
1962,0.000000,0.000025
1963,0.000000,0.000031
1964,0.000000,0.000029
1965,0.000000,0.000035
1966,0.000000,0.000037
1967,0.000000,0.000036
1968,0.000000,0.000036
1969,0.000000,0.000034
1970,0.000000,0.000035
1971,0.000000,0.000045
1972,0.000000,0.000043
1973,0.000000,0.000039
1974,0.000000,0.000046
1975,0.000000,0.000044
1976,0.000000,0.000044
1977,0.000000,0.000040
1978,0.000000,0.000037
1979,0.000000,0.000044
1980,0.000000,0.000048
1981,0.000000,0.000051
1982,0.000000,0.000039
1983,0.000000,0.000041
1984,0.000000,0.000041
1985,0.000000,0.000040
1986,0.000001,0.000048
1987,0.000001,0.000046
1988,0.000000,0.000053
1989,0.000000,0.000054
1990,0.000000,0.000062
1991,0.000000,0.000059
1992,0.000000,0.000061
1993,0.000000,0.000068
1994,0.000000,0.000083
1995,0.000000,0.000071
1996,0.000000,0.000071
1997,0.000000,0.000077
1998,0.000000,0.000083
1999,0.000000,0.000099
2000,0.000000,0.000102
2001,0.000000,0.000102
2002,0.000000,0.000103
2003,0.000000,0.000133
2004,0.000000,0.000112
2005,0.000000,0.000126
2006,0.000000,0.000106
2007,0.000000,0.000094
2008,0.000000,0.000080
2009,0.000000,0.000062
2010,0.000000,0.000050
2011,0.000000,0.000049
2012,0.000000,0.000043
2013,0.000000,0.000041
