year,Arlene (F),Arlene (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000030,0.000000
1889,0.000017,0.000000
1890,0.000036,0.000000
1891,0.000045,0.000000
1892,0.000057,0.000000
1893,0.000052,0.000000
1894,0.000056,0.000000
1895,0.000066,0.000000
1896,0.000092,0.000000
1897,0.000081,0.000000
1898,0.000079,0.000000
1899,0.000097,0.000000
1900,0.000104,0.000000
1901,0.000110,0.000000
1902,0.000122,0.000000
1903,0.000176,0.000000
1904,0.000146,0.000000
1905,0.000182,0.000000
1906,0.000250,0.000000
1907,0.000217,0.000000
1908,0.000293,0.000000
1909,0.000313,0.000000
1910,0.000350,0.000000
1911,0.000351,0.000000
1912,0.000329,0.000000
1913,0.000414,0.000000
1914,0.000429,0.000000
1915,0.000471,0.000000
1916,0.000571,0.000003
1917,0.000602,0.000000
1918,0.000617,0.000000
1919,0.000676,0.000000
1920,0.000704,0.000002
1921,0.000787,0.000000
1922,0.000823,0.000003
1923,0.000908,0.000003
1924,0.000955,0.000000
1925,0.000975,0.000002
1926,0.001098,0.000004
1927,0.001104,0.000003
1928,0.001116,0.000004
1929,0.001096,0.000004
1930,0.001127,0.000006
1931,0.001528,0.000005
1932,0.001472,0.000007
1933,0.001594,0.000005
1934,0.001885,0.000006
1935,0.001763,0.000004
1936,0.001877,0.000007
1937,0.001787,0.000011
1938,0.001759,0.000009
1939,0.001622,0.000009
1940,0.001415,0.000007
1941,0.001351,0.000002
1942,0.001220,0.000006
1943,0.001115,0.000002
1944,0.001009,0.000005
1945,0.001045,0.000003
1946,0.000876,0.000002
1947,0.000807,0.000001
1948,0.000718,0.000001
1949,0.000687,0.000000
1950,0.000683,0.000001
1951,0.000678,0.000000
1952,0.000614,0.000001
1953,0.000598,0.000002
1954,0.000523,0.000001
1955,0.000493,0.000001
1956,0.000439,0.000000
1957,0.000403,0.000001
1958,0.000430,0.000000
1959,0.000432,0.000000
1960,0.000391,0.000002
1961,0.000375,0.000001
1962,0.000333,0.000000
1963,0.000327,0.000002
1964,0.000315,0.000000
1965,0.000290,0.000000
1966,0.000262,0.000000
1967,0.000227,0.000001
1968,0.000213,0.000000
1969,0.000212,0.000000
1970,0.000199,0.000000
1971,0.000176,0.000000
1972,0.000159,0.000000
1973,0.000166,0.000000
1974,0.000143,0.000000
1975,0.000135,0.000000
1976,0.000136,0.000000
1977,0.000123,0.000000
1978,0.000112,0.000000
1979,0.000098,0.000000
1980,0.000107,0.000000
1981,0.000119,0.000000
1982,0.000120,0.000000
1983,0.000107,0.000000
1984,0.000100,0.000000
1985,0.000097,0.000000
1986,0.000099,0.000002
1987,0.000101,0.000000
1988,0.000092,0.000000
1989,0.000089,0.000002
1990,0.000079,0.000000
1991,0.000085,0.000000
1992,0.000096,0.000000
1993,0.000091,0.000000
1994,0.000080,0.000000
1995,0.000081,0.000000
1996,0.000083,0.000000
1997,0.000088,0.000000
1998,0.000083,0.000000
1999,0.000085,0.000000
2000,0.000076,0.000000
2001,0.000075,0.000000
2002,0.000085,0.000000
2003,0.000075,0.000000
2004,0.000064,0.000000
2005,0.000079,0.000000
2006,0.000061,0.000000
2007,0.000056,0.000000
2008,0.000059,0.000000
2009,0.000051,0.000000
2010,0.000056,0.000000
2011,0.000049,0.000000
2012,0.000043,0.000000
2013,0.000044,0.000000
