year,Adline
1880,8
1881,0
1882,0
1883,0
1884,9
1885,13
1886,11
1887,11
1888,8
1889,11
1890,11
1891,7
1892,14
1893,9
1894,15
1895,13
1896,5
1897,11
1898,11
1899,17
1900,16
1901,11
1902,14
1903,10
1904,13
1905,16
1906,17
1907,14
1908,18
1909,18
1910,22
1911,17
1912,14
1913,18
1914,27
1915,27
1916,21
1917,26
1918,27
1919,37
1920,34
1921,32
1922,23
1923,21
1924,30
1925,28
1926,31
1927,31
1928,21
1929,23
1930,19
1931,21
1932,11
1933,14
1934,15
1935,10
1936,10
1937,10
1938,10
1939,10
1940,0
1941,6
1942,14
1943,12
1944,11
1945,10
1946,11
1947,11
1948,13
1949,11
1950,9
1951,9
1952,7
1953,16
1954,0
1955,9
1956,9
1957,7
1958,0
1959,0
1960,0
1961,5
1962,0
1963,6
1964,6
1965,0
1966,0
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,6
1978,0
1979,0
1980,0
1981,8
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
