year,Angelika
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,0
1955,7
1956,0
1957,9
1958,13
1959,20
1960,14
1961,16
1962,17
1963,18
1964,17
1965,24
1966,20
1967,14
1968,22
1969,21
1970,17
1971,15
1972,17
1973,14
1974,18
1975,16
1976,22
1977,19
1978,24
1979,32
1980,25
1981,28
1982,27
1983,15
1984,21
1985,33
1986,30
1987,41
1988,41
1989,56
1990,41
1991,58
1992,58
1993,72
1994,81
1995,70
1996,95
1997,93
1998,91
1999,71
2000,91
2001,83
2002,67
2003,99
2004,84
2005,89
2006,100
2007,71
2008,75
2009,67
2010,61
2011,50
2012,52
