year,Aldean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,0
1911,0
1912,5
1913,0
1914,6
1915,8
1916,7
1917,12
1918,0
1919,18
1920,15
1921,26
1922,17
1923,25
1924,18
1925,19
1926,26
1927,25
1928,17
1929,16
1930,20
1931,19
1932,10
1933,14
1934,21
1935,15
1936,9
1937,11
1938,21
1939,8
1940,0
1941,5
1942,16
1943,5
1944,17
1945,6
1946,18
1947,14
1948,14
1949,7
1950,9
1951,12
1952,9
1953,5
1954,0
1955,6
1956,0
1957,0
1958,0
1959,11
1960,0
1961,0
1962,0
1963,0
1964,7
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,5
2012,0
