year,Alfredia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,0
1919,0
1920,0
1921,10
1922,0
1923,0
1924,13
1925,6
1926,9
1927,7
1928,14
1929,15
1930,7
1931,15
1932,10
1933,7
1934,12
1935,8
1936,12
1937,9
1938,15
1939,16
1940,18
1941,19
1942,13
1943,11
1944,16
1945,26
1946,21
1947,25
1948,24
1949,20
1950,37
1951,30
1952,28
1953,25
1954,41
1955,46
1956,38
1957,38
1958,77
1959,45
1960,38
1961,41
1962,32
1963,25
1964,25
1965,19
1966,19
1967,13
1968,12
1969,11
1970,13
1971,22
1972,14
1973,9
1974,10
1975,5
1976,5
1977,5
1978,8
1979,6
1980,0
1981,0
1982,0
1983,0
1984,0
1985,5
1986,0
1987,0
1988,6
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
