year,Aubery
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,5
1915,10
1916,6
1917,5
1918,0
1919,7
1920,10
1921,6
1922,9
1923,6
1924,11
1925,11
1926,7
1927,7
1928,7
1929,8
1930,8
1931,12
1932,8
1933,18
1934,7
1935,7
1936,12
1937,6
1938,8
1939,15
1940,12
1941,18
1942,13
1943,13
1944,9
1945,14
1946,13
1947,10
1948,10
1949,7
1950,12
1951,6
1952,15
1953,20
1954,6
1955,9
1956,13
1957,9
1958,8
1959,9
1960,8
1961,10
1962,7
1963,0
1964,5
1965,0
1966,0
1967,0
1968,6
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,6
1982,0
1983,0
1984,8
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,6
2006,0
2007,0
2008,7
2009,5
2010,8
2011,9
2012,9
