year,Aurore
1880,0
1881,0
1882,0
1883,0
1884,6
1885,5
1886,0
1887,0
1888,0
1889,0
1890,5
1891,13
1892,11
1893,7
1894,13
1895,14
1896,20
1897,18
1898,18
1899,6
1900,19
1901,12
1902,14
1903,9
1904,20
1905,19
1906,14
1907,20
1908,5
1909,13
1910,13
1911,13
1912,25
1913,15
1914,27
1915,20
1916,16
1917,16
1918,19
1919,20
1920,22
1921,23
1922,19
1923,17
1924,13
1925,13
1926,15
1927,9
1928,7
1929,8
1930,8
1931,7
1932,0
1933,5
1934,8
1935,5
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,9
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
