year,Aloysius (F),Aloysius (M)
1880,0.000000,0.000060
1881,0.000000,0.000042
1882,0.000000,0.000050
1883,0.000000,0.000060
1884,0.000000,0.000045
1885,0.000000,0.000062
1886,0.000000,0.000039
1887,0.000000,0.000044
1888,0.000000,0.000057
1889,0.000000,0.000038
1890,0.000000,0.000043
1891,0.000000,0.000087
1892,0.000000,0.000078
1893,0.000000,0.000095
1894,0.000000,0.000056
1895,0.000000,0.000077
1896,0.000000,0.000070
1897,0.000000,0.000075
1898,0.000000,0.000094
1899,0.000000,0.000071
1900,0.000000,0.000082
1901,0.000000,0.000038
1902,0.000000,0.000054
1903,0.000000,0.000052
1904,0.000000,0.000059
1905,0.000000,0.000061
1906,0.000000,0.000051
1907,0.000000,0.000060
1908,0.000000,0.000059
1909,0.000000,0.000080
1910,0.000000,0.000049
1911,0.000000,0.000076
1912,0.000000,0.000093
1913,0.000000,0.000104
1914,0.000000,0.000101
1915,0.000000,0.000102
1916,0.000000,0.000103
1917,0.000000,0.000090
1918,0.000000,0.000084
1919,0.000000,0.000091
1920,0.000000,0.000086
1921,0.000000,0.000085
1922,0.000000,0.000070
1923,0.000000,0.000065
1924,0.000000,0.000069
1925,0.000000,0.000058
1926,0.000000,0.000052
1927,0.000000,0.000054
1928,0.000000,0.000054
1929,0.000000,0.000049
1930,0.000000,0.000041
1931,0.000000,0.000038
1932,0.000000,0.000036
1933,0.000000,0.000034
1934,0.000000,0.000030
1935,0.000000,0.000023
1936,0.000000,0.000029
1937,0.000000,0.000019
1938,0.000000,0.000023
1939,0.000000,0.000025
1940,0.000000,0.000022
1941,0.000000,0.000014
1942,0.000000,0.000014
1943,0.000000,0.000011
1944,0.000000,0.000013
1945,0.000000,0.000012
1946,0.000000,0.000010
1947,0.000000,0.000009
1948,0.000000,0.000008
1949,0.000000,0.000007
1950,0.000000,0.000008
1951,0.000000,0.000007
1952,0.000000,0.000006
1953,0.000000,0.000008
1954,0.000000,0.000008
1955,0.000000,0.000007
1956,0.000000,0.000007
1957,0.000000,0.000004
1958,0.000000,0.000004
1959,0.000000,0.000006
1960,0.000000,0.000006
1961,0.000000,0.000005
1962,0.000000,0.000006
1963,0.000000,0.000007
1964,0.000000,0.000009
1965,0.000000,0.000006
1966,0.000000,0.000004
1967,0.000000,0.000004
1968,0.000000,0.000006
1969,0.000000,0.000004
1970,0.000000,0.000006
1971,0.000000,0.000006
1972,0.000000,0.000003
1973,0.000000,0.000009
1974,0.000000,0.000005
1975,0.000000,0.000004
1976,0.000000,0.000005
1977,0.000000,0.000003
1978,0.000000,0.000005
1979,0.000000,0.000005
1980,0.000000,0.000005
1981,0.000000,0.000006
1982,0.000000,0.000003
1983,0.000000,0.000005
1984,0.000000,0.000003
1985,0.000000,0.000005
1986,0.000000,0.000003
1987,0.000000,0.000003
1988,0.000000,0.000003
1989,0.000000,0.000004
1990,0.000000,0.000003
1991,0.000000,0.000003
1992,0.000000,0.000003
1993,0.000000,0.000003
1994,0.000000,0.000003
1995,0.000000,0.000002
1996,0.000000,0.000003
1997,0.000000,0.000002
1998,0.000000,0.000003
1999,0.000000,0.000003
2000,0.000000,0.000004
2001,0.000000,0.000002
2002,0.000000,0.000003
2003,0.000000,0.000002
2004,0.000000,0.000004
2005,0.000000,0.000003
2006,0.000000,0.000003
2007,0.000000,0.000004
2008,0.000000,0.000003
2009,0.000000,0.000004
2010,0.000000,0.000004
2011,0.000000,0.000003
2012,0.000000,0.000003
2013,0.000000,0.000004
2014,0.000000,0.000003
2015,0.000000,0.000005
2016,0.000000,0.000004
2017,0.000000,0.000008
2018,0.000000,0.000005
2019,0.000000,0.000005
2020,0.000000,0.000005
