year,Alphonzo (F),Alphonzo (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000010
1911,0.000000,0.000011
1912,0.000000,0.000000
1913,0.000000,0.000005
1914,0.000000,0.000006
1915,0.000000,0.000009
1916,0.000000,0.000005
1917,0.000000,0.000005
1918,0.000000,0.000004
1919,0.000000,0.000000
1920,0.000000,0.000004
1921,0.000000,0.000003
1922,0.000000,0.000008
1923,0.000000,0.000006
1924,0.000000,0.000005
1925,0.000000,0.000007
1926,0.000000,0.000010
1927,0.000000,0.000007
1928,0.000000,0.000006
1929,0.000000,0.000009
1930,0.000000,0.000009
1931,0.000000,0.000011
1932,0.000000,0.000013
1933,0.000000,0.000008
1934,0.000000,0.000005
1935,0.000000,0.000012
1936,0.000000,0.000009
1937,0.000000,0.000008
1938,0.000000,0.000005
1939,0.000000,0.000006
1940,0.000000,0.000006
1941,0.000000,0.000006
1942,0.000000,0.000009
1943,0.000000,0.000006
1944,0.000000,0.000006
1945,0.000000,0.000008
1946,0.000000,0.000007
1947,0.000000,0.000007
1948,0.000000,0.000011
1949,0.000000,0.000008
1950,0.000000,0.000006
1951,0.000000,0.000010
1952,0.000000,0.000010
1953,0.000000,0.000011
1954,0.000000,0.000007
1955,0.000000,0.000009
1956,0.000000,0.000009
1957,0.000000,0.000007
1958,0.000000,0.000006
1959,0.000000,0.000008
1960,0.000000,0.000010
1961,0.000000,0.000006
1962,0.000000,0.000010
1963,0.000000,0.000011
1964,0.000000,0.000007
1965,0.000000,0.000008
1966,0.000000,0.000011
1967,0.000000,0.000006
1968,0.000000,0.000007
1969,0.000000,0.000009
1970,0.000000,0.000007
1971,0.000000,0.000008
1972,0.000000,0.000008
1973,0.000000,0.000008
1974,0.000000,0.000008
1975,0.000000,0.000013
1976,0.000000,0.000006
1977,0.000000,0.000006
1978,0.000000,0.000006
1979,0.000000,0.000009
1980,0.000000,0.000005
1981,0.000000,0.000005
1982,0.000000,0.000005
1983,0.000000,0.000006
1984,0.000000,0.000006
1985,0.000000,0.000003
1986,0.000000,0.000005
1987,0.000000,0.000008
1988,0.000000,0.000005
1989,0.000000,0.000004
1990,0.000000,0.000005
1991,0.000000,0.000005
1992,0.000000,0.000005
1993,0.000000,0.000004
1994,0.000000,0.000005
1995,0.000000,0.000003
1996,0.000000,0.000005
1997,0.000000,0.000004
1998,0.000000,0.000004
1999,0.000000,0.000004
2000,0.000000,0.000003
2001,0.000000,0.000003
2002,0.000000,0.000004
2003,0.000000,0.000003
2004,0.000000,0.000003
2005,0.000000,0.000001
2006,0.000000,0.000000
2007,0.000000,0.000002
2008,0.000000,0.000002
2009,0.000000,0.000003
2010,0.000000,0.000003
2011,0.000000,0.000002
2012,0.000000,0.000002
