year,Antoinette (F),Antoinette (M)
1880,0.000094,0.000000
1881,0.000150,0.000000
1882,0.000158,0.000000
1883,0.000203,0.000000
1884,0.000144,0.000000
1885,0.000170,0.000000
1886,0.000180,0.000000
1887,0.000190,0.000000
1888,0.000220,0.000000
1889,0.000239,0.000000
1890,0.000219,0.000000
1891,0.000241,0.000000
1892,0.000215,0.000000
1893,0.000194,0.000000
1894,0.000269,0.000000
1895,0.000273,0.000000
1896,0.000255,0.000000
1897,0.000280,0.000000
1898,0.000330,0.000000
1899,0.000383,0.000000
1900,0.000298,0.000000
1901,0.000408,0.000000
1902,0.000370,0.000000
1903,0.000417,0.000000
1904,0.000461,0.000000
1905,0.000427,0.000000
1906,0.000490,0.000000
1907,0.000546,0.000000
1908,0.000544,0.000000
1909,0.000579,0.000000
1910,0.000542,0.000000
1911,0.000602,0.000000
1912,0.000513,0.000000
1913,0.000568,0.000000
1914,0.000586,0.000000
1915,0.000571,0.000000
1916,0.000549,0.000000
1917,0.000587,0.000000
1918,0.000529,0.000000
1919,0.000517,0.000000
1920,0.000514,0.000000
1921,0.000529,0.000000
1922,0.000555,0.000000
1923,0.000543,0.000000
1924,0.000560,0.000000
1925,0.000502,0.000000
1926,0.000505,0.000000
1927,0.000445,0.000000
1928,0.000454,0.000003
1929,0.000427,0.000002
1930,0.000438,0.000002
1931,0.000418,0.000000
1932,0.000372,0.000000
1933,0.000323,0.000000
1934,0.000297,0.000000
1935,0.000301,0.000000
1936,0.000318,0.000000
1937,0.000323,0.000000
1938,0.000334,0.000002
1939,0.000347,0.000000
1940,0.000322,0.000000
1941,0.000300,0.000000
1942,0.000318,0.000000
1943,0.000283,0.000000
1944,0.000272,0.000000
1945,0.000277,0.000000
1946,0.000244,0.000000
1947,0.000275,0.000000
1948,0.000282,0.000000
1949,0.000255,0.000000
1950,0.000246,0.000000
1951,0.000245,0.000000
1952,0.000254,0.000000
1953,0.000229,0.000000
1954,0.000241,0.000000
1955,0.000211,0.000000
1956,0.000231,0.000000
1957,0.000225,0.000000
1958,0.000207,0.000000
1959,0.000211,0.000000
1960,0.000225,0.000000
1961,0.000243,0.000000
1962,0.000246,0.000000
1963,0.000266,0.000000
1964,0.000264,0.000002
1965,0.000274,0.000000
1966,0.000274,0.000002
1967,0.000304,0.000000
1968,0.000285,0.000000
1969,0.000282,0.000002
1970,0.000283,0.000000
1971,0.000282,0.000000
1972,0.000255,0.000002
1973,0.000252,0.000000
1974,0.000225,0.000000
1975,0.000214,0.000000
1976,0.000201,0.000000
1977,0.000174,0.000000
1978,0.000169,0.000000
1979,0.000187,0.000002
1980,0.000171,0.000000
1981,0.000192,0.000002
1982,0.000195,0.000000
1983,0.000183,0.000000
1984,0.000187,0.000000
1985,0.000194,0.000000
1986,0.000219,0.000000
1987,0.000219,0.000000
1988,0.000202,0.000000
1989,0.000183,0.000002
1990,0.000191,0.000000
1991,0.000152,0.000000
1992,0.000134,0.000000
1993,0.000119,0.000000
1994,0.000108,0.000000
1995,0.000099,0.000000
1996,0.000096,0.000000
1997,0.000088,0.000000
1998,0.000078,0.000000
1999,0.000071,0.000000
2000,0.000057,0.000000
2001,0.000055,0.000000
2002,0.000039,0.000000
2003,0.000034,0.000000
2004,0.000038,0.000000
2005,0.000039,0.000000
2006,0.000031,0.000000
2007,0.000036,0.000000
2008,0.000028,0.000000
2009,0.000030,0.000000
2010,0.000025,0.000000
2011,0.000023,0.000000
2012,0.000023,0.000000
2013,0.000020,0.000000
