year,Ames
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,7
1914,5
1915,9
1916,11
1917,7
1918,8
1919,7
1920,8
1921,11
1922,8
1923,7
1924,7
1925,0
1926,5
1927,6
1928,10
1929,10
1930,12
1931,9
1932,11
1933,7
1934,6
1935,9
1936,0
1937,7
1938,7
1939,12
1940,11
1941,6
1942,5
1943,0
1944,8
1945,5
1946,6
1947,6
1948,8
1949,7
1950,6
1951,11
1952,8
1953,10
1954,8
1955,9
1956,14
1957,8
1958,18
1959,9
1960,8
1961,10
1962,9
1963,6
1964,8
1965,8
1966,10
1967,11
1968,12
1969,16
1970,14
1971,11
1972,12
1973,7
1974,8
1975,14
1976,12
1977,14
1978,8
1979,10
1980,16
1981,18
1982,17
1983,22
1984,18
1985,12
1986,18
1987,14
1988,22
1989,16
1990,6
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,11
2001,0
2002,0
2003,0
2004,7
2005,0
2006,6
2007,6
2008,15
2009,9
2010,13
2011,31
2012,56
