year,Arther (F),Arther (M)
1880,0.000000,0.000084
1881,0.000000,0.000093
1882,0.000000,0.000072
1883,0.000000,0.000078
1884,0.000000,0.000090
1885,0.000000,0.000091
1886,0.000000,0.000063
1887,0.000000,0.000036
1888,0.000000,0.000030
1889,0.000000,0.000028
1890,0.000000,0.000053
1891,0.000000,0.000059
1892,0.000000,0.000060
1893,0.000000,0.000037
1894,0.000000,0.000071
1895,0.000000,0.000068
1896,0.000000,0.000053
1897,0.000000,0.000049
1898,0.000000,0.000047
1899,0.000000,0.000047
1900,0.000000,0.000067
1901,0.000000,0.000049
1902,0.000000,0.000067
1903,0.000000,0.000029
1904,0.000000,0.000059
1905,0.000000,0.000059
1906,0.000000,0.000042
1907,0.000000,0.000043
1908,0.000000,0.000057
1909,0.000000,0.000068
1910,0.000000,0.000059
1911,0.000000,0.000054
1912,0.000000,0.000053
1913,0.000000,0.000047
1914,0.000000,0.000054
1915,0.000000,0.000047
1916,0.000000,0.000046
1917,0.000000,0.000061
1918,0.000000,0.000043
1919,0.000000,0.000057
1920,0.000000,0.000050
1921,0.000000,0.000047
1922,0.000000,0.000058
1923,0.000002,0.000053
1924,0.000002,0.000044
1925,0.000000,0.000051
1926,0.000003,0.000048
1927,0.000000,0.000051
1928,0.000003,0.000050
1929,0.000000,0.000058
1930,0.000000,0.000052
1931,0.000000,0.000061
1932,0.000000,0.000055
1933,0.000000,0.000050
1934,0.000000,0.000047
1935,0.000000,0.000055
1936,0.000000,0.000035
1937,0.000002,0.000040
1938,0.000003,0.000045
1939,0.000000,0.000043
1940,0.000003,0.000041
1941,0.000000,0.000030
1942,0.000000,0.000030
1943,0.000000,0.000026
1944,0.000000,0.000028
1945,0.000000,0.000023
1946,0.000002,0.000016
1947,0.000000,0.000017
1948,0.000000,0.000016
1949,0.000000,0.000013
1950,0.000000,0.000011
1951,0.000000,0.000015
1952,0.000000,0.000011
1953,0.000000,0.000010
1954,0.000000,0.000012
1955,0.000000,0.000010
1956,0.000000,0.000007
1957,0.000000,0.000008
1958,0.000000,0.000008
1959,0.000000,0.000009
1960,0.000000,0.000005
1961,0.000000,0.000006
1962,0.000000,0.000003
1963,0.000000,0.000004
1964,0.000000,0.000006
1965,0.000000,0.000005
1966,0.000000,0.000004
1967,0.000000,0.000004
1968,0.000000,0.000006
1969,0.000000,0.000002
1970,0.000000,0.000005
1971,0.000000,0.000003
1972,0.000000,0.000004
1973,0.000000,0.000004
1974,0.000000,0.000003
1975,0.000000,0.000003
1976,0.000000,0.000003
1977,0.000000,0.000004
1978,0.000000,0.000002
1979,0.000000,0.000005
1980,0.000000,0.000003
1981,0.000000,0.000003
1982,0.000000,0.000002
1983,0.000000,0.000003
1984,0.000000,0.000001
1985,0.000000,0.000000
1986,0.000000,0.000002
1987,0.000000,0.000002
1988,0.000000,0.000002
1989,0.000000,0.000002
1990,0.000000,0.000000
1991,0.000000,0.000000
1992,0.000000,0.000001
1993,0.000000,0.000000
1994,0.000000,0.000002
1995,0.000000,0.000000
1996,0.000000,0.000000
1997,0.000000,0.000002
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000001
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
2014,0.000000,0.000000
2015,0.000000,0.000000
2016,0.000000,0.000000
2017,0.000000,0.000000
2018,0.000000,0.000000
2019,0.000000,0.000000
2020,0.000000,0.000000
