year,Alesia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,8
1948,7
1949,16
1950,21
1951,29
1952,23
1953,48
1954,62
1955,62
1956,32
1957,31
1958,31
1959,135
1960,352
1961,381
1962,382
1963,455
1964,419
1965,408
1966,356
1967,247
1968,194
1969,110
1970,92
1971,102
1972,60
1973,59
1974,47
1975,47
1976,46
1977,53
1978,56
1979,47
1980,70
1981,83
1982,106
1983,125
1984,149
1985,99
1986,110
1987,111
1988,149
1989,161
1990,154
1991,115
1992,72
1993,96
1994,75
1995,65
1996,69
1997,77
1998,74
1999,72
2000,63
2001,71
2002,67
2003,73
2004,55
2005,46
2006,50
2007,68
2008,54
2009,52
2010,35
2011,25
2012,44
