year,Alwin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,5
1913,12
1914,24
1915,26
1916,19
1917,21
1918,25
1919,24
1920,23
1921,17
1922,14
1923,14
1924,25
1925,23
1926,14
1927,16
1928,13
1929,21
1930,11
1931,10
1932,11
1933,9
1934,10
1935,8
1936,12
1937,7
1938,10
1939,8
1940,10
1941,12
1942,9
1943,14
1944,13
1945,0
1946,12
1947,5
1948,7
1949,13
1950,14
1951,9
1952,7
1953,11
1954,9
1955,8
1956,7
1957,10
1958,10
1959,9
1960,6
1961,0
1962,8
1963,6
1964,6
1965,0
1966,0
1967,6
1968,6
1969,6
1970,0
1971,8
1972,0
1973,8
1974,0
1975,0
1976,0
1977,6
1978,0
1979,6
1980,5
1981,0
1982,0
1983,5
1984,0
1985,0
1986,0
1987,9
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,5
1995,5
1996,5
1997,6
1998,0
1999,8
2000,5
2001,0
2002,0
2003,10
2004,7
2005,0
2006,9
2007,5
2008,7
2009,11
2010,6
2011,10
2012,8
