year,Arden (F),Arden (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000020
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000020
1891,0.000000,0.000000
1892,0.000000,0.000018
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000000
1897,0.000000,0.000014
1898,0.000000,0.000021
1899,0.000000,0.000032
1900,0.000000,0.000000
1901,0.000000,0.000014
1902,0.000000,0.000018
1903,0.000000,0.000031
1904,0.000000,0.000017
1905,0.000000,0.000026
1906,0.000000,0.000021
1907,0.000000,0.000015
1908,0.000000,0.000000
1909,0.000000,0.000016
1910,0.000000,0.000029
1911,0.000000,0.000029
1912,0.000000,0.000049
1913,0.000000,0.000043
1914,0.000004,0.000041
1915,0.000003,0.000051
1916,0.000000,0.000042
1917,0.000000,0.000058
1918,0.000000,0.000053
1919,0.000002,0.000041
1920,0.000000,0.000049
1921,0.000000,0.000048
1922,0.000000,0.000054
1923,0.000000,0.000053
1924,0.000000,0.000058
1925,0.000000,0.000047
1926,0.000000,0.000044
1927,0.000004,0.000055
1928,0.000017,0.000051
1929,0.000029,0.000044
1930,0.000040,0.000061
1931,0.000027,0.000058
1932,0.000023,0.000054
1933,0.000018,0.000057
1934,0.000020,0.000070
1935,0.000018,0.000056
1936,0.000017,0.000062
1937,0.000019,0.000055
1938,0.000008,0.000064
1939,0.000015,0.000058
1940,0.000012,0.000045
1941,0.000010,0.000047
1942,0.000005,0.000040
1943,0.000006,0.000043
1944,0.000009,0.000034
1945,0.000006,0.000035
1946,0.000010,0.000024
1947,0.000007,0.000031
1948,0.000006,0.000025
1949,0.000007,0.000021
1950,0.000006,0.000023
1951,0.000006,0.000017
1952,0.000006,0.000017
1953,0.000008,0.000021
1954,0.000006,0.000018
1955,0.000006,0.000015
1956,0.000006,0.000015
1957,0.000006,0.000015
1958,0.000005,0.000017
1959,0.000006,0.000016
1960,0.000006,0.000014
1961,0.000006,0.000014
1962,0.000004,0.000011
1963,0.000007,0.000011
1964,0.000005,0.000010
1965,0.000004,0.000008
1966,0.000003,0.000009
1967,0.000004,0.000007
1968,0.000005,0.000012
1969,0.000005,0.000010
1970,0.000003,0.000010
1971,0.000004,0.000007
1972,0.000003,0.000007
1973,0.000002,0.000007
1974,0.000005,0.000008
1975,0.000002,0.000008
1976,0.000002,0.000006
1977,0.000000,0.000006
1978,0.000003,0.000005
1979,0.000004,0.000005
1980,0.000003,0.000005
1981,0.000002,0.000003
1982,0.000003,0.000003
1983,0.000004,0.000006
1984,0.000004,0.000004
1985,0.000006,0.000005
1986,0.000007,0.000004
1987,0.000006,0.000006
1988,0.000004,0.000008
1989,0.000007,0.000005
1990,0.000006,0.000004
1991,0.000006,0.000005
1992,0.000009,0.000005
1993,0.000017,0.000005
1994,0.000021,0.000007
1995,0.000020,0.000007
1996,0.000018,0.000005
1997,0.000022,0.000006
1998,0.000025,0.000008
1999,0.000026,0.000008
2000,0.000028,0.000009
2001,0.000033,0.000008
2002,0.000038,0.000009
2003,0.000042,0.000015
2004,0.000042,0.000013
2005,0.000038,0.000015
2006,0.000037,0.000014
2007,0.000042,0.000020
2008,0.000056,0.000018
2009,0.000044,0.000018
2010,0.000052,0.000015
2011,0.000049,0.000021
2012,0.000061,0.000021
2013,0.000065,0.000019
