year,Alona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,9
1918,8
1919,0
1920,0
1921,0
1922,5
1923,0
1924,0
1925,0
1926,5
1927,6
1928,0
1929,5
1930,0
1931,6
1932,5
1933,5
1934,6
1935,5
1936,0
1937,7
1938,6
1939,0
1940,7
1941,6
1942,14
1943,56
1944,18
1945,23
1946,56
1947,24
1948,23
1949,21
1950,12
1951,11
1952,18
1953,13
1954,14
1955,10
1956,9
1957,8
1958,9
1959,9
1960,12
1961,12
1962,10
1963,14
1964,13
1965,12
1966,22
1967,17
1968,16
1969,16
1970,16
1971,8
1972,11
1973,18
1974,11
1975,22
1976,19
1977,14
1978,24
1979,24
1980,19
1981,16
1982,16
1983,16
1984,15
1985,107
1986,46
1987,34
1988,24
1989,26
1990,24
1991,25
1992,24
1993,27
1994,25
1995,25
1996,43
1997,49
1998,48
1999,50
2000,53
2001,66
2002,52
2003,67
2004,75
2005,102
2006,103
2007,91
2008,104
2009,92
2010,82
2011,59
2012,83
