year,Anderson (F),Anderson (M)
1880,0.000000,0.000213
1881,0.000000,0.000208
1882,0.000000,0.000262
1883,0.000000,0.000175
1884,0.000000,0.000197
1885,0.000000,0.000174
1886,0.000000,0.000133
1887,0.000000,0.000158
1888,0.000000,0.000154
1889,0.000000,0.000145
1890,0.000000,0.000196
1891,0.000000,0.000105
1892,0.000000,0.000132
1893,0.000000,0.000141
1894,0.000000,0.000148
1895,0.000000,0.000088
1896,0.000000,0.000109
1897,0.000000,0.000133
1898,0.000000,0.000113
1899,0.000000,0.000080
1900,0.000000,0.000124
1901,0.000000,0.000075
1902,0.000000,0.000096
1903,0.000000,0.000079
1904,0.000000,0.000121
1905,0.000000,0.000106
1906,0.000000,0.000107
1907,0.000000,0.000064
1908,0.000000,0.000092
1909,0.000000,0.000098
1910,0.000000,0.000088
1911,0.000000,0.000087
1912,0.000000,0.000086
1913,0.000000,0.000079
1914,0.000000,0.000078
1915,0.000000,0.000066
1916,0.000000,0.000070
1917,0.000000,0.000064
1918,0.000000,0.000062
1919,0.000000,0.000070
1920,0.000000,0.000080
1921,0.000000,0.000055
1922,0.000000,0.000062
1923,0.000000,0.000065
1924,0.000000,0.000058
1925,0.000000,0.000055
1926,0.000000,0.000062
1927,0.000000,0.000056
1928,0.000000,0.000056
1929,0.000000,0.000047
1930,0.000000,0.000055
1931,0.000000,0.000047
1932,0.000000,0.000043
1933,0.000000,0.000053
1934,0.000000,0.000045
1935,0.000000,0.000041
1936,0.000000,0.000051
1937,0.000000,0.000040
1938,0.000000,0.000042
1939,0.000000,0.000046
1940,0.000000,0.000043
1941,0.000000,0.000039
1942,0.000000,0.000041
1943,0.000000,0.000036
1944,0.000000,0.000034
1945,0.000000,0.000036
1946,0.000002,0.000031
1947,0.000000,0.000033
1948,0.000000,0.000028
1949,0.000000,0.000033
1950,0.000000,0.000031
1951,0.000000,0.000027
1952,0.000000,0.000026
1953,0.000000,0.000030
1954,0.000000,0.000030
1955,0.000000,0.000025
1956,0.000000,0.000023
1957,0.000000,0.000025
1958,0.000000,0.000023
1959,0.000000,0.000023
1960,0.000000,0.000020
1961,0.000000,0.000023
1962,0.000000,0.000021
1963,0.000000,0.000015
1964,0.000000,0.000021
1965,0.000000,0.000022
1966,0.000000,0.000021
1967,0.000000,0.000023
1968,0.000000,0.000015
1969,0.000000,0.000020
1970,0.000000,0.000021
1971,0.000000,0.000024
1972,0.000000,0.000024
1973,0.000000,0.000025
1974,0.000000,0.000022
1975,0.000000,0.000022
1976,0.000000,0.000025
1977,0.000000,0.000022
1978,0.000000,0.000026
1979,0.000000,0.000022
1980,0.000000,0.000024
1981,0.000000,0.000021
1982,0.000002,0.000026
1983,0.000000,0.000025
1984,0.000000,0.000023
1985,0.000000,0.000027
1986,0.000000,0.000026
1987,0.000000,0.000025
1988,0.000000,0.000029
1989,0.000002,0.000029
1990,0.000000,0.000034
1991,0.000000,0.000040
1992,0.000002,0.000040
1993,0.000003,0.000038
1994,0.000003,0.000046
1995,0.000003,0.000044
1996,0.000005,0.000049
1997,0.000005,0.000049
1998,0.000005,0.000045
1999,0.000004,0.000056
2000,0.000003,0.000056
2001,0.000004,0.000061
2002,0.000005,0.000075
2003,0.000004,0.000090
2004,0.000008,0.000097
2005,0.000005,0.000129
2006,0.000006,0.000191
2007,0.000010,0.000232
2008,0.000010,0.000259
2009,0.000007,0.000299
2010,0.000011,0.000277
2011,0.000013,0.000314
2012,0.000012,0.000342
