year,Annetta
1880,18
1881,11
1882,11
1883,13
1884,9
1885,20
1886,13
1887,12
1888,20
1889,21
1890,11
1891,10
1892,20
1893,18
1894,20
1895,26
1896,24
1897,29
1898,28
1899,20
1900,21
1901,26
1902,26
1903,25
1904,29
1905,21
1906,21
1907,19
1908,26
1909,24
1910,29
1911,40
1912,66
1913,56
1914,55
1915,103
1916,121
1917,123
1918,131
1919,118
1920,93
1921,144
1922,104
1923,123
1924,112
1925,123
1926,107
1927,89
1928,82
1929,75
1930,87
1931,84
1932,79
1933,82
1934,87
1935,120
1936,151
1937,174
1938,166
1939,151
1940,164
1941,184
1942,152
1943,126
1944,126
1945,119
1946,136
1947,138
1948,105
1949,138
1950,110
1951,117
1952,95
1953,113
1954,120
1955,110
1956,122
1957,131
1958,159
1959,143
1960,162
1961,141
1962,144
1963,149
1964,140
1965,115
1966,122
1967,99
1968,99
1969,93
1970,101
1971,86
1972,75
1973,56
1974,77
1975,51
1976,56
1977,51
1978,33
1979,40
1980,45
1981,33
1982,32
1983,34
1984,27
1985,22
1986,22
1987,25
1988,23
1989,11
1990,15
1991,14
1992,11
1993,20
1994,16
1995,9
1996,10
1997,14
1998,15
1999,10
2000,5
2001,14
2002,15
2003,10
2004,8
2005,7
2006,18
2007,12
2008,12
2009,5
2010,7
2011,10
2012,11
