year,Alejo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,0
1913,0
1914,0
1915,7
1916,0
1917,0
1918,0
1919,9
1920,7
1921,7
1922,5
1923,5
1924,5
1925,0
1926,5
1927,6
1928,5
1929,5
1930,0
1931,0
1932,7
1933,0
1934,0
1935,6
1936,8
1937,8
1938,7
1939,7
1940,10
1941,5
1942,5
1943,8
1944,7
1945,0
1946,9
1947,0
1948,9
1949,5
1950,7
1951,0
1952,5
1953,8
1954,8
1955,6
1956,8
1957,6
1958,11
1959,6
1960,10
1961,5
1962,6
1963,5
1964,8
1965,10
1966,5
1967,11
1968,6
1969,0
1970,8
1971,5
1972,8
1973,7
1974,6
1975,5
1976,11
1977,11
1978,5
1979,7
1980,10
1981,12
1982,12
1983,9
1984,9
1985,7
1986,9
1987,9
1988,9
1989,12
1990,6
1991,10
1992,13
1993,13
1994,10
1995,7
1996,17
1997,13
1998,8
1999,13
2000,10
2001,14
2002,12
2003,14
2004,14
2005,14
2006,10
2007,16
2008,12
2009,9
2010,5
2011,13
2012,9
