year,Armon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,8
1912,11
1913,13
1914,16
1915,15
1916,21
1917,21
1918,12
1919,17
1920,15
1921,23
1922,16
1923,18
1924,16
1925,19
1926,20
1927,11
1928,19
1929,17
1930,19
1931,13
1932,12
1933,17
1934,20
1935,13
1936,17
1937,9
1938,10
1939,11
1940,14
1941,11
1942,9
1943,15
1944,10
1945,13
1946,11
1947,14
1948,13
1949,10
1950,7
1951,10
1952,14
1953,15
1954,14
1955,10
1956,21
1957,14
1958,12
1959,0
1960,20
1961,8
1962,8
1963,14
1964,7
1965,12
1966,6
1967,8
1968,8
1969,6
1970,12
1971,10
1972,15
1973,13
1974,14
1975,17
1976,19
1977,22
1978,25
1979,27
1980,35
1981,21
1982,23
1983,20
1984,16
1985,13
1986,38
1987,23
1988,33
1989,32
1990,32
1991,37
1992,39
1993,48
1994,36
1995,46
1996,69
1997,84
1998,120
1999,111
2000,99
2001,93
2002,85
2003,77
2004,78
2005,96
2006,62
2007,80
2008,64
2009,57
2010,62
2011,76
2012,58
