year,Adelle
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,8
1888,5
1889,12
1890,14
1891,8
1892,9
1893,7
1894,12
1895,7
1896,9
1897,15
1898,15
1899,13
1900,18
1901,9
1902,8
1903,12
1904,15
1905,16
1906,31
1907,24
1908,24
1909,17
1910,29
1911,35
1912,40
1913,52
1914,62
1915,77
1916,92
1917,95
1918,105
1919,95
1920,95
1921,88
1922,91
1923,92
1924,80
1925,82
1926,76
1927,64
1928,71
1929,59
1930,46
1931,51
1932,44
1933,46
1934,37
1935,35
1936,31
1937,32
1938,25
1939,26
1940,24
1941,27
1942,31
1943,26
1944,22
1945,22
1946,25
1947,29
1948,22
1949,26
1950,35
1951,20
1952,22
1953,24
1954,17
1955,33
1956,26
1957,21
1958,12
1959,19
1960,28
1961,13
1962,16
1963,15
1964,10
1965,14
1966,14
1967,18
1968,11
1969,11
1970,19
1971,14
1972,16
1973,14
1974,18
1975,16
1976,20
1977,27
1978,21
1979,24
1980,19
1981,34
1982,30
1983,30
1984,33
1985,19
1986,24
1987,14
1988,29
1989,30
1990,24
1991,23
1992,19
1993,26
1994,31
1995,28
1996,22
1997,28
1998,36
1999,38
2000,47
2001,48
2002,63
2003,62
2004,69
2005,71
2006,89
2007,67
2008,84
2009,124
2010,147
2011,179
2012,146
