year,Allie (F),Allie (M)
1880,0.000521,0.000154
1881,0.000509,0.000109
1882,0.000510,0.000122
1883,0.000673,0.000111
1884,0.000608,0.000107
1885,0.000731,0.000079
1886,0.000697,0.000082
1887,0.000740,0.000081
1888,0.000745,0.000127
1889,0.000817,0.000042
1890,0.000760,0.000073
1891,0.000670,0.000087
1892,0.000730,0.000087
1893,0.000658,0.000080
1894,0.000685,0.000065
1895,0.000718,0.000094
1896,0.000618,0.000087
1897,0.000764,0.000055
1898,0.000710,0.000071
1899,0.000646,0.000044
1900,0.000635,0.000060
1901,0.000619,0.000052
1902,0.000675,0.000075
1903,0.000648,0.000047
1904,0.000647,0.000035
1905,0.000703,0.000040
1906,0.000525,0.000054
1907,0.000569,0.000039
1908,0.000501,0.000039
1909,0.000532,0.000037
1910,0.000401,0.000037
1911,0.000393,0.000053
1912,0.000326,0.000031
1913,0.000258,0.000033
1914,0.000247,0.000047
1915,0.000234,0.000038
1916,0.000229,0.000033
1917,0.000209,0.000032
1918,0.000197,0.000033
1919,0.000209,0.000027
1920,0.000183,0.000034
1921,0.000183,0.000026
1922,0.000175,0.000024
1923,0.000175,0.000035
1924,0.000166,0.000030
1925,0.000153,0.000031
1926,0.000143,0.000023
1927,0.000142,0.000027
1928,0.000128,0.000020
1929,0.000108,0.000021
1930,0.000121,0.000019
1931,0.000096,0.000024
1932,0.000102,0.000022
1933,0.000115,0.000024
1934,0.000096,0.000015
1935,0.000100,0.000017
1936,0.000086,0.000013
1937,0.000075,0.000014
1938,0.000069,0.000014
1939,0.000064,0.000013
1940,0.000064,0.000016
1941,0.000054,0.000013
1942,0.000045,0.000011
1943,0.000046,0.000009
1944,0.000038,0.000008
1945,0.000026,0.000007
1946,0.000028,0.000012
1947,0.000025,0.000009
1948,0.000027,0.000008
1949,0.000022,0.000005
1950,0.000026,0.000007
1951,0.000015,0.000006
1952,0.000013,0.000007
1953,0.000012,0.000009
1954,0.000014,0.000007
1955,0.000017,0.000007
1956,0.000012,0.000004
1957,0.000010,0.000004
1958,0.000009,0.000004
1959,0.000011,0.000003
1960,0.000007,0.000005
1961,0.000010,0.000003
1962,0.000006,0.000005
1963,0.000007,0.000002
1964,0.000007,0.000005
1965,0.000004,0.000005
1966,0.000007,0.000004
1967,0.000006,0.000004
1968,0.000005,0.000004
1969,0.000004,0.000005
1970,0.000006,0.000003
1971,0.000008,0.000003
1972,0.000009,0.000005
1973,0.000007,0.000003
1974,0.000010,0.000002
1975,0.000010,0.000002
1976,0.000009,0.000002
1977,0.000015,0.000002
1978,0.000010,0.000004
1979,0.000010,0.000002
1980,0.000010,0.000004
1981,0.000013,0.000003
1982,0.000010,0.000002
1983,0.000013,0.000002
1984,0.000023,0.000000
1985,0.000037,0.000002
1986,0.000064,0.000001
1987,0.000075,0.000002
1988,0.000074,0.000003
1989,0.000098,0.000000
1990,0.000101,0.000003
1991,0.000106,0.000003
1992,0.000109,0.000002
1993,0.000140,0.000003
1994,0.000152,0.000002
1995,0.000155,0.000000
1996,0.000159,0.000000
1997,0.000183,0.000000
1998,0.000264,0.000002
1999,0.000229,0.000000
2000,0.000194,0.000001
2001,0.000208,0.000002
2002,0.000214,0.000000
2003,0.000256,0.000000
2004,0.000290,0.000002
2005,0.000333,0.000002
2006,0.000382,0.000001
2007,0.000372,0.000000
2008,0.000372,0.000002
2009,0.000368,0.000000
2010,0.000443,0.000000
2011,0.000431,0.000001
2012,0.000424,0.000001
2013,0.000401,0.000000
2014,0.000345,0.000000
2015,0.000341,0.000002
2016,0.000284,0.000000
2017,0.000278,0.000000
2018,0.000258,0.000000
2019,0.000249,0.000000
2020,0.000214,0.000000
