year,Alleen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,12
1896,6
1897,0
1898,0
1899,0
1900,6
1901,0
1902,6
1903,7
1904,8
1905,11
1906,8
1907,10
1908,13
1909,14
1910,7
1911,11
1912,21
1913,23
1914,26
1915,24
1916,24
1917,30
1918,35
1919,21
1920,31
1921,41
1922,20
1923,30
1924,24
1925,31
1926,26
1927,29
1928,27
1929,22
1930,24
1931,21
1932,19
1933,19
1934,17
1935,6
1936,13
1937,12
1938,9
1939,9
1940,6
1941,6
1942,8
1943,13
1944,13
1945,12
1946,7
1947,6
1948,10
1949,9
1950,10
1951,9
1952,6
1953,6
1954,6
1955,0
1956,9
1957,9
1958,6
1959,0
1960,6
1961,5
1962,0
1963,7
1964,0
1965,0
1966,8
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
