year,Almeta
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,7
1890,0
1891,6
1892,0
1893,0
1894,0
1895,5
1896,10
1897,0
1898,8
1899,0
1900,17
1901,6
1902,12
1903,16
1904,14
1905,15
1906,8
1907,16
1908,14
1909,20
1910,26
1911,18
1912,29
1913,29
1914,28
1915,47
1916,48
1917,46
1918,52
1919,54
1920,67
1921,57
1922,63
1923,54
1924,69
1925,47
1926,44
1927,50
1928,40
1929,58
1930,45
1931,34
1932,49
1933,53
1934,47
1935,42
1936,38
1937,49
1938,35
1939,36
1940,38
1941,36
1942,30
1943,30
1944,25
1945,25
1946,23
1947,26
1948,21
1949,22
1950,20
1951,17
1952,23
1953,28
1954,21
1955,17
1956,17
1957,29
1958,21
1959,13
1960,17
1961,11
1962,19
1963,9
1964,8
1965,12
1966,6
1967,12
1968,0
1969,8
1970,10
1971,9
1972,7
1973,13
1974,13
1975,10
1976,6
1977,0
1978,5
1979,10
1980,0
1981,0
1982,6
1983,9
1984,8
1985,0
1986,6
1987,5
1988,7
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
