year,Ammie
1880,0
1881,0
1882,0
1883,6
1884,7
1885,0
1886,14
1887,12
1888,0
1889,6
1890,7
1891,10
1892,10
1893,14
1894,11
1895,5
1896,11
1897,8
1898,11
1899,0
1900,21
1901,10
1902,13
1903,6
1904,7
1905,13
1906,7
1907,13
1908,14
1909,16
1910,9
1911,18
1912,16
1913,20
1914,21
1915,25
1916,30
1917,32
1918,33
1919,20
1920,47
1921,29
1922,25
1923,28
1924,22
1925,26
1926,24
1927,33
1928,22
1929,23
1930,30
1931,22
1932,29
1933,25
1934,20
1935,18
1936,27
1937,15
1938,17
1939,24
1940,16
1941,24
1942,12
1943,19
1944,13
1945,17
1946,13
1947,16
1948,13
1949,15
1950,15
1951,14
1952,14
1953,15
1954,9
1955,11
1956,16
1957,12
1958,12
1959,8
1960,6
1961,9
1962,8
1963,9
1964,9
1965,21
1966,18
1967,17
1968,25
1969,36
1970,40
1971,31
1972,44
1973,69
1974,53
1975,49
1976,63
1977,63
1978,58
1979,63
1980,49
1981,46
1982,49
1983,44
1984,34
1985,32
1986,19
1987,19
1988,25
1989,15
1990,27
1991,18
1992,15
1993,10
1994,10
1995,14
1996,5
1997,13
1998,8
1999,5
2000,14
2001,8
2002,10
2003,13
2004,6
2005,19
2006,15
2007,9
2008,10
2009,15
2010,11
2011,7
2012,9
