year,Arcelia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,6
1916,0
1917,0
1918,0
1919,8
1920,12
1921,15
1922,9
1923,8
1924,14
1925,9
1926,8
1927,5
1928,11
1929,9
1930,8
1931,0
1932,0
1933,11
1934,12
1935,8
1936,9
1937,12
1938,9
1939,7
1940,10
1941,13
1942,7
1943,15
1944,12
1945,8
1946,15
1947,10
1948,20
1949,15
1950,30
1951,14
1952,16
1953,6
1954,22
1955,17
1956,16
1957,23
1958,11
1959,19
1960,22
1961,14
1962,13
1963,15
1964,14
1965,12
1966,20
1967,10
1968,23
1969,17
1970,24
1971,26
1972,22
1973,30
1974,31
1975,46
1976,27
1977,29
1978,26
1979,30
1980,37
1981,33
1982,20
1983,29
1984,28
1985,22
1986,27
1987,18
1988,14
1989,24
1990,24
1991,29
1992,25
1993,34
1994,26
1995,24
1996,28
1997,19
1998,25
1999,35
2000,30
2001,19
2002,27
2003,16
2004,18
2005,20
2006,20
2007,19
2008,15
2009,14
2010,13
2011,10
2012,11
