year,Adelita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,6
1925,0
1926,7
1927,6
1928,0
1929,0
1930,10
1931,6
1932,5
1933,6
1934,0
1935,0
1936,5
1937,7
1938,5
1939,17
1940,5
1941,10
1942,10
1943,12
1944,15
1945,23
1946,22
1947,18
1948,28
1949,31
1950,33
1951,32
1952,36
1953,26
1954,26
1955,20
1956,26
1957,9
1958,30
1959,32
1960,30
1961,43
1962,32
1963,21
1964,25
1965,32
1966,34
1967,28
1968,24
1969,33
1970,16
1971,35
1972,26
1973,29
1974,36
1975,27
1976,26
1977,30
1978,32
1979,35
1980,24
1981,32
1982,23
1983,14
1984,16
1985,16
1986,15
1987,15
1988,14
1989,15
1990,11
1991,16
1992,18
1993,18
1994,8
1995,14
1996,16
1997,14
1998,15
1999,15
2000,8
2001,10
2002,14
2003,7
2004,10
2005,11
2006,14
2007,7
2008,10
2009,10
2010,11
2011,16
2012,18
