year,Alayne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,11
1930,7
1931,9
1932,5
1933,5
1934,9
1935,16
1936,23
1937,19
1938,10
1939,7
1940,14
1941,18
1942,18
1943,16
1944,6
1945,9
1946,12
1947,20
1948,13
1949,13
1950,16
1951,15
1952,17
1953,17
1954,17
1955,16
1956,19
1957,19
1958,17
1959,7
1960,18
1961,18
1962,18
1963,22
1964,29
1965,41
1966,15
1967,19
1968,11
1969,11
1970,26
1971,13
1972,6
1973,8
1974,9
1975,6
1976,12
1977,14
1978,15
1979,9
1980,15
1981,17
1982,11
1983,6
1984,11
1985,9
1986,11
1987,9
1988,14
1989,12
1990,8
1991,10
1992,12
1993,10
1994,12
1995,12
1996,15
1997,9
1998,10
1999,8
2000,9
2001,6
2002,12
2003,0
2004,7
2005,7
2006,6
2007,9
2008,0
2009,0
2010,9
2011,0
2012,8
