year,Addie (F),Addie (M)
1880,0.001360,0.000040
1881,0.001489,0.000036
1882,0.001539,0.000027
1883,0.001669,0.000032
1884,0.001462,0.000033
1885,0.001686,0.000000
1886,0.001633,0.000031
1887,0.001589,0.000024
1888,0.001519,0.000017
1889,0.001550,0.000035
1890,0.001553,0.000020
1891,0.001629,0.000028
1892,0.001474,0.000000
1893,0.001279,0.000015
1894,0.001420,0.000024
1895,0.001342,0.000020
1896,0.001357,0.000036
1897,0.001329,0.000000
1898,0.001261,0.000018
1899,0.001214,0.000027
1900,0.001201,0.000022
1901,0.001154,0.000020
1902,0.001213,0.000000
1903,0.001157,0.000021
1904,0.001071,0.000000
1905,0.001097,0.000000
1906,0.001043,0.000019
1907,0.001012,0.000021
1908,0.000911,0.000016
1909,0.000886,0.000010
1910,0.000838,0.000014
1911,0.000771,0.000016
1912,0.000585,0.000018
1913,0.000532,0.000011
1914,0.000500,0.000011
1915,0.000441,0.000010
1916,0.000425,0.000008
1917,0.000417,0.000010
1918,0.000406,0.000009
1919,0.000401,0.000007
1920,0.000400,0.000008
1921,0.000358,0.000008
1922,0.000374,0.000009
1923,0.000328,0.000010
1924,0.000320,0.000005
1925,0.000326,0.000006
1926,0.000285,0.000009
1927,0.000303,0.000011
1928,0.000261,0.000005
1929,0.000266,0.000004
1930,0.000229,0.000005
1931,0.000218,0.000004
1932,0.000211,0.000003
1933,0.000207,0.000007
1934,0.000202,0.000005
1935,0.000190,0.000002
1936,0.000164,0.000004
1937,0.000199,0.000006
1938,0.000176,0.000004
1939,0.000151,0.000005
1940,0.000152,0.000006
1941,0.000139,0.000003
1942,0.000118,0.000002
1943,0.000102,0.000000
1944,0.000106,0.000002
1945,0.000105,0.000003
1946,0.000083,0.000000
1947,0.000079,0.000002
1948,0.000080,0.000001
1949,0.000082,0.000002
1950,0.000070,0.000001
1951,0.000066,0.000000
1952,0.000053,0.000001
1953,0.000054,0.000001
1954,0.000047,0.000002
1955,0.000042,0.000000
1956,0.000043,0.000000
1957,0.000041,0.000002
1958,0.000035,0.000002
1959,0.000038,0.000001
1960,0.000030,0.000000
1961,0.000025,0.000000
1962,0.000027,0.000000
1963,0.000024,0.000000
1964,0.000021,0.000000
1965,0.000021,0.000000
1966,0.000017,0.000000
1967,0.000014,0.000000
1968,0.000014,0.000000
1969,0.000015,0.000000
1970,0.000014,0.000000
1971,0.000012,0.000000
1972,0.000017,0.000000
1973,0.000019,0.000000
1974,0.000027,0.000000
1975,0.000031,0.000000
1976,0.000033,0.000000
1977,0.000035,0.000000
1978,0.000030,0.000000
1979,0.000030,0.000000
1980,0.000030,0.000000
1981,0.000024,0.000000
1982,0.000024,0.000000
1983,0.000019,0.000000
1984,0.000021,0.000000
1985,0.000021,0.000000
1986,0.000030,0.000000
1987,0.000028,0.000000
1988,0.000031,0.000000
1989,0.000029,0.000000
1990,0.000028,0.000000
1991,0.000025,0.000000
1992,0.000022,0.000000
1993,0.000031,0.000000
1994,0.000035,0.000000
1995,0.000038,0.000000
1996,0.000035,0.000001
1997,0.000038,0.000000
1998,0.000043,0.000000
1999,0.000038,0.000000
2000,0.000042,0.000000
2001,0.000051,0.000000
2002,0.000048,0.000000
2003,0.000048,0.000000
2004,0.000049,0.000000
2005,0.000065,0.000000
2006,0.000054,0.000000
2007,0.000059,0.000000
2008,0.000056,0.000000
2009,0.000061,0.000000
2010,0.000056,0.000000
2011,0.000065,0.000000
2012,0.000063,0.000000
2013,0.000054,0.000000
