year,Alica
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,5
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,5
1945,0
1946,0
1947,0
1948,0
1949,9
1950,8
1951,7
1952,0
1953,8
1954,7
1955,14
1956,13
1957,9
1958,15
1959,27
1960,20
1961,21
1962,16
1963,23
1964,26
1965,23
1966,21
1967,28
1968,31
1969,31
1970,28
1971,23
1972,26
1973,26
1974,20
1975,22
1976,26
1977,19
1978,25
1979,33
1980,37
1981,31
1982,19
1983,34
1984,40
1985,39
1986,31
1987,27
1988,29
1989,39
1990,32
1991,32
1992,21
1993,16
1994,16
1995,19
1996,19
1997,13
1998,20
1999,13
2000,20
2001,16
2002,17
2003,13
2004,10
2005,12
2006,11
2007,15
2008,7
2009,7
2010,0
2011,0
2012,0
