year,Ashton (F),Ashton (M)
1880,0.000000,0.000000
1881,0.000000,0.000031
1882,0.000000,0.000000
1883,0.000000,0.000028
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000018
1893,0.000000,0.000015
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000020
1897,0.000000,0.000020
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000013
1901,0.000000,0.000000
1902,0.000000,0.000021
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000014
1907,0.000000,0.000000
1908,0.000000,0.000012
1909,0.000000,0.000020
1910,0.000000,0.000000
1911,0.000000,0.000011
1912,0.000000,0.000014
1913,0.000000,0.000013
1914,0.000000,0.000016
1915,0.000000,0.000016
1916,0.000000,0.000012
1917,0.000000,0.000013
1918,0.000000,0.000015
1919,0.000000,0.000010
1920,0.000000,0.000013
1921,0.000000,0.000009
1922,0.000000,0.000013
1923,0.000000,0.000016
1924,0.000000,0.000010
1925,0.000000,0.000011
1926,0.000000,0.000007
1927,0.000000,0.000010
1928,0.000000,0.000009
1929,0.000000,0.000010
1930,0.000000,0.000009
1931,0.000000,0.000011
1932,0.000000,0.000011
1933,0.000000,0.000008
1934,0.000000,0.000011
1935,0.000000,0.000009
1936,0.000000,0.000007
1937,0.000000,0.000009
1938,0.000000,0.000007
1939,0.000000,0.000008
1940,0.000000,0.000008
1941,0.000000,0.000007
1942,0.000000,0.000007
1943,0.000000,0.000005
1944,0.000000,0.000005
1945,0.000000,0.000007
1946,0.000000,0.000006
1947,0.000000,0.000006
1948,0.000000,0.000004
1949,0.000000,0.000003
1950,0.000000,0.000003
1951,0.000000,0.000004
1952,0.000000,0.000006
1953,0.000000,0.000002
1954,0.000000,0.000006
1955,0.000000,0.000002
1956,0.000000,0.000004
1957,0.000000,0.000005
1958,0.000000,0.000003
1959,0.000000,0.000004
1960,0.000000,0.000003
1961,0.000000,0.000002
1962,0.000000,0.000003
1963,0.000000,0.000002
1964,0.000000,0.000006
1965,0.000000,0.000004
1966,0.000000,0.000004
1967,0.000000,0.000004
1968,0.000000,0.000006
1969,0.000000,0.000007
1970,0.000000,0.000007
1971,0.000000,0.000009
1972,0.000000,0.000006
1973,0.000000,0.000008
1974,0.000000,0.000011
1975,0.000000,0.000010
1976,0.000002,0.000009
1977,0.000000,0.000012
1978,0.000000,0.000011
1979,0.000002,0.000019
1980,0.000001,0.000019
1981,0.000003,0.000024
1982,0.000006,0.000028
1983,0.000010,0.000035
1984,0.000011,0.000052
1985,0.000036,0.000064
1986,0.000268,0.000073
1987,0.000210,0.000079
1988,0.000170,0.000084
1989,0.000267,0.000138
1990,0.000211,0.000162
1991,0.000184,0.000171
1992,0.000189,0.000152
1993,0.000210,0.000189
1994,0.000261,0.000184
1995,0.000254,0.000221
1996,0.000246,0.000219
1997,0.000270,0.000266
1998,0.000257,0.000280
1999,0.000245,0.000289
2000,0.000230,0.000348
2001,0.000220,0.000427
2002,0.000209,0.000496
2003,0.000165,0.001110
2004,0.000108,0.001422
2005,0.000087,0.001058
2006,0.000063,0.000883
2007,0.000058,0.000846
2008,0.000058,0.000895
2009,0.000058,0.000932
2010,0.000049,0.000876
2011,0.000064,0.000968
2012,0.000048,0.000770
