year,Armond
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,8
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,6
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,6
1907,8
1908,0
1909,6
1910,0
1911,8
1912,27
1913,32
1914,34
1915,43
1916,41
1917,58
1918,60
1919,60
1920,59
1921,70
1922,69
1923,65
1924,72
1925,64
1926,69
1927,60
1928,47
1929,60
1930,46
1931,47
1932,52
1933,48
1934,42
1935,34
1936,28
1937,40
1938,26
1939,32
1940,28
1941,24
1942,24
1943,49
1944,34
1945,28
1946,26
1947,39
1948,36
1949,33
1950,32
1951,34
1952,22
1953,30
1954,35
1955,41
1956,30
1957,32
1958,28
1959,25
1960,25
1961,34
1962,23
1963,17
1964,26
1965,18
1966,16
1967,20
1968,19
1969,22
1970,26
1971,23
1972,28
1973,18
1974,27
1975,24
1976,42
1977,35
1978,49
1979,49
1980,60
1981,42
1982,38
1983,34
1984,51
1985,39
1986,36
1987,44
1988,40
1989,45
1990,50
1991,41
1992,44
1993,29
1994,54
1995,45
1996,46
1997,71
1998,50
1999,58
2000,69
2001,56
2002,52
2003,51
2004,38
2005,37
2006,45
2007,37
2008,39
2009,31
2010,29
2011,31
2012,39
