year,Alla
1880,6
1881,7
1882,0
1883,5
1884,0
1885,0
1886,0
1887,6
1888,0
1889,7
1890,5
1891,7
1892,7
1893,7
1894,6
1895,7
1896,0
1897,9
1898,9
1899,7
1900,9
1901,13
1902,7
1903,5
1904,9
1905,0
1906,0
1907,12
1908,12
1909,13
1910,6
1911,9
1912,12
1913,16
1914,11
1915,20
1916,14
1917,20
1918,23
1919,23
1920,23
1921,22
1922,17
1923,22
1924,24
1925,17
1926,21
1927,25
1928,20
1929,17
1930,17
1931,12
1932,17
1933,23
1934,18
1935,18
1936,11
1937,9
1938,13
1939,13
1940,5
1941,7
1942,10
1943,11
1944,7
1945,6
1946,7
1947,11
1948,0
1949,8
1950,9
1951,8
1952,5
1953,0
1954,5
1955,6
1956,5
1957,5
1958,0
1959,0
1960,0
1961,0
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,5
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,5
1987,6
1988,5
1989,6
1990,0
1991,9
1992,17
1993,11
1994,12
1995,12
1996,8
1997,11
1998,11
1999,16
2000,19
2001,22
2002,11
2003,11
2004,8
2005,13
2006,18
2007,13
2008,10
2009,13
2010,8
2011,5
2012,8
