year,Alicen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,7
1966,5
1967,0
1968,0
1969,0
1970,5
1971,10
1972,8
1973,10
1974,0
1975,9
1976,13
1977,13
1978,13
1979,12
1980,18
1981,16
1982,15
1983,19
1984,10
1985,14
1986,19
1987,17
1988,20
1989,27
1990,23
1991,25
1992,13
1993,34
1994,27
1995,25
1996,22
1997,33
1998,23
1999,31
2000,31
2001,29
2002,30
2003,32
2004,27
2005,33
2006,24
2007,27
2008,30
2009,23
2010,29
2011,23
2012,28
