year,Albina
1880,7
1881,15
1882,7
1883,19
1884,24
1885,24
1886,27
1887,22
1888,26
1889,23
1890,37
1891,32
1892,38
1893,30
1894,36
1895,42
1896,43
1897,43
1898,44
1899,41
1900,49
1901,39
1902,41
1903,50
1904,52
1905,42
1906,55
1907,56
1908,39
1909,52
1910,60
1911,62
1912,91
1913,107
1914,151
1915,199
1916,193
1917,227
1918,200
1919,198
1920,188
1921,154
1922,161
1923,143
1924,133
1925,135
1926,100
1927,106
1928,101
1929,89
1930,69
1931,67
1932,48
1933,44
1934,43
1935,37
1936,36
1937,29
1938,16
1939,23
1940,29
1941,27
1942,18
1943,24
1944,22
1945,15
1946,19
1947,13
1948,14
1949,12
1950,11
1951,22
1952,21
1953,9
1954,14
1955,9
1956,5
1957,0
1958,10
1959,7
1960,11
1961,9
1962,9
1963,7
1964,5
1965,0
1966,5
1967,0
1968,6
1969,0
1970,9
1971,5
1972,0
1973,0
1974,8
1975,0
1976,0
1977,5
1978,0
1979,8
1980,5
1981,5
1982,7
1983,0
1984,0
1985,6
1986,5
1987,10
1988,0
1989,5
1990,0
1991,5
1992,7
1993,0
1994,10
1995,5
1996,0
1997,7
1998,9
1999,10
2000,11
2001,13
2002,9
2003,8
2004,9
2005,12
2006,18
2007,11
2008,15
2009,9
2010,19
2011,10
2012,17
