year,Angella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,8
1901,0
1902,0
1903,10
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,0
1914,9
1915,7
1916,0
1917,6
1918,0
1919,6
1920,6
1921,8
1922,0
1923,6
1924,9
1925,9
1926,5
1927,0
1928,0
1929,0
1930,5
1931,0
1932,6
1933,0
1934,0
1935,0
1936,7
1937,0
1938,5
1939,0
1940,11
1941,6
1942,7
1943,5
1944,7
1945,7
1946,8
1947,9
1948,8
1949,8
1950,0
1951,8
1952,16
1953,16
1954,12
1955,19
1956,21
1957,23
1958,22
1959,18
1960,24
1961,37
1962,33
1963,50
1964,76
1965,82
1966,80
1967,76
1968,97
1969,111
1970,139
1971,149
1972,103
1973,129
1974,110
1975,134
1976,120
1977,128
1978,120
1979,109
1980,89
1981,81
1982,79
1983,71
1984,50
1985,59
1986,45
1987,51
1988,43
1989,26
1990,28
1991,30
1992,36
1993,21
1994,27
1995,27
1996,20
1997,24
1998,26
1999,27
2000,24
2001,19
2002,16
2003,29
2004,22
2005,21
2006,21
2007,23
2008,31
2009,32
2010,26
2011,29
2012,22
