year,Almira
1880,8
1881,10
1882,7
1883,15
1884,15
1885,13
1886,12
1887,8
1888,14
1889,11
1890,20
1891,11
1892,16
1893,14
1894,12
1895,14
1896,12
1897,23
1898,17
1899,9
1900,19
1901,11
1902,18
1903,13
1904,17
1905,17
1906,13
1907,9
1908,11
1909,18
1910,17
1911,20
1912,24
1913,24
1914,28
1915,37
1916,36
1917,48
1918,44
1919,32
1920,36
1921,37
1922,38
1923,25
1924,29
1925,31
1926,22
1927,17
1928,19
1929,22
1930,19
1931,24
1932,14
1933,14
1934,11
1935,15
1936,23
1937,8
1938,10
1939,11
1940,11
1941,13
1942,10
1943,11
1944,12
1945,8
1946,12
1947,10
1948,10
1949,6
1950,8
1951,0
1952,7
1953,6
1954,10
1955,11
1956,9
1957,6
1958,6
1959,0
1960,7
1961,10
1962,0
1963,9
1964,0
1965,5
1966,6
1967,0
1968,5
1969,7
1970,10
1971,7
1972,6
1973,0
1974,8
1975,6
1976,8
1977,6
1978,6
1979,10
1980,0
1981,7
1982,6
1983,5
1984,0
1985,0
1986,0
1987,6
1988,0
1989,0
1990,7
1991,0
1992,7
1993,0
1994,8
1995,5
1996,0
1997,10
1998,9
1999,8
2000,8
2001,8
2002,7
2003,13
2004,20
2005,16
2006,10
2007,16
2008,14
2009,17
2010,9
2011,8
2012,8
