year,Alpha (F),Alpha (M)
1880,0.000129,0.000030
1881,0.000140,0.000047
1882,0.000131,0.000063
1883,0.000148,0.000051
1884,0.000111,0.000049
1885,0.000145,0.000050
1886,0.000149,0.000031
1887,0.000170,0.000020
1888,0.000157,0.000020
1889,0.000201,0.000024
1890,0.000189,0.000027
1891,0.000206,0.000024
1892,0.000176,0.000030
1893,0.000191,0.000000
1894,0.000213,0.000027
1895,0.000214,0.000000
1896,0.000229,0.000017
1897,0.000216,0.000032
1898,0.000197,0.000016
1899,0.000259,0.000018
1900,0.000173,0.000013
1901,0.000205,0.000035
1902,0.000209,0.000036
1903,0.000223,0.000000
1904,0.000240,0.000012
1905,0.000172,0.000012
1906,0.000173,0.000016
1907,0.000187,0.000021
1908,0.000196,0.000018
1909,0.000168,0.000000
1910,0.000159,0.000010
1911,0.000171,0.000014
1912,0.000112,0.000020
1913,0.000130,0.000022
1914,0.000095,0.000016
1915,0.000099,0.000016
1916,0.000102,0.000016
1917,0.000095,0.000019
1918,0.000082,0.000011
1919,0.000090,0.000013
1920,0.000083,0.000010
1921,0.000077,0.000013
1922,0.000073,0.000018
1923,0.000070,0.000011
1924,0.000062,0.000013
1925,0.000061,0.000011
1926,0.000055,0.000009
1927,0.000069,0.000013
1928,0.000055,0.000007
1929,0.000046,0.000007
1930,0.000038,0.000010
1931,0.000048,0.000011
1932,0.000043,0.000013
1933,0.000044,0.000009
1934,0.000048,0.000008
1935,0.000044,0.000010
1936,0.000035,0.000007
1937,0.000036,0.000008
1938,0.000032,0.000008
1939,0.000028,0.000005
1940,0.000031,0.000007
1941,0.000021,0.000006
1942,0.000024,0.000000
1943,0.000018,0.000004
1944,0.000024,0.000003
1945,0.000016,0.000004
1946,0.000018,0.000005
1947,0.000015,0.000004
1948,0.000014,0.000005
1949,0.000009,0.000005
1950,0.000012,0.000005
1951,0.000010,0.000004
1952,0.000008,0.000004
1953,0.000006,0.000003
1954,0.000005,0.000004
1955,0.000005,0.000002
1956,0.000008,0.000002
1957,0.000005,0.000004
1958,0.000006,0.000002
1959,0.000007,0.000002
1960,0.000004,0.000002
1961,0.000005,0.000003
1962,0.000004,0.000002
1963,0.000006,0.000002
1964,0.000003,0.000004
1965,0.000006,0.000002
1966,0.000003,0.000003
1967,0.000002,0.000003
1968,0.000004,0.000000
1969,0.000003,0.000003
1970,0.000005,0.000002
1971,0.000005,0.000003
1972,0.000003,0.000004
1973,0.000005,0.000004
1974,0.000004,0.000004
1975,0.000004,0.000004
1976,0.000005,0.000003
1977,0.000004,0.000002
1978,0.000004,0.000005
1979,0.000004,0.000005
1980,0.000003,0.000002
1981,0.000003,0.000003
1982,0.000001,0.000004
1983,0.000003,0.000004
1984,0.000002,0.000003
1985,0.000003,0.000002
1986,0.000003,0.000002
1987,0.000002,0.000001
1988,0.000002,0.000000
1989,0.000003,0.000003
1990,0.000002,0.000002
1991,0.000000,0.000003
1992,0.000000,0.000002
1993,0.000000,0.000004
1994,0.000000,0.000003
1995,0.000001,0.000004
1996,0.000009,0.000004
1997,0.000006,0.000005
1998,0.000005,0.000005
1999,0.000002,0.000009
2000,0.000003,0.000009
2001,0.000003,0.000010
2002,0.000000,0.000010
2003,0.000002,0.000011
2004,0.000002,0.000008
2005,0.000002,0.000011
2006,0.000002,0.000013
2007,0.000002,0.000012
2008,0.000000,0.000013
2009,0.000000,0.000013
2010,0.000000,0.000012
2011,0.000002,0.000009
2012,0.000000,0.000010
2013,0.000001,0.000011
2014,0.000000,0.000012
2015,0.000000,0.000012
2016,0.000002,0.000017
2017,0.000000,0.000015
2018,0.000001,0.000014
2019,0.000005,0.000019
2020,0.000002,0.000020
