year,Antonie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,5
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,7
1961,0
1962,8
1963,0
1964,0
1965,0
1966,0
1967,10
1968,9
1969,13
1970,16
1971,18
1972,14
1973,20
1974,17
1975,29
1976,16
1977,22
1978,23
1979,20
1980,20
1981,13
1982,32
1983,24
1984,28
1985,22
1986,31
1987,18
1988,32
1989,24
1990,15
1991,12
1992,19
1993,14
1994,19
1995,12
1996,14
1997,10
1998,9
1999,10
2000,8
2001,9
2002,10
2003,8
2004,8
2005,5
2006,8
2007,13
2008,13
2009,13
2010,8
2011,5
2012,6
