year,Amity
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,5
1961,5
1962,0
1963,5
1964,6
1965,5
1966,0
1967,0
1968,5
1969,11
1970,16
1971,26
1972,33
1973,43
1974,60
1975,75
1976,94
1977,84
1978,88
1979,119
1980,77
1981,69
1982,39
1983,28
1984,39
1985,19
1986,21
1987,30
1988,25
1989,23
1990,25
1991,21
1992,33
1993,27
1994,19
1995,20
1996,25
1997,28
1998,28
1999,22
2000,27
2001,35
2002,36
2003,19
2004,27
2005,26
2006,11
2007,18
2008,32
2009,28
2010,27
2011,28
2012,25
