year,Arminta
1880,16
1881,7
1882,15
1883,11
1884,13
1885,6
1886,9
1887,9
1888,11
1889,8
1890,12
1891,7
1892,6
1893,11
1894,0
1895,8
1896,9
1897,11
1898,9
1899,5
1900,7
1901,10
1902,6
1903,0
1904,9
1905,9
1906,5
1907,5
1908,0
1909,0
1910,8
1911,6
1912,10
1913,6
1914,11
1915,13
1916,14
1917,10
1918,11
1919,22
1920,26
1921,18
1922,17
1923,12
1924,17
1925,16
1926,16
1927,16
1928,13
1929,20
1930,6
1931,10
1932,13
1933,17
1934,17
1935,11
1936,11
1937,11
1938,13
1939,10
1940,10
1941,10
1942,7
1943,8
1944,13
1945,0
1946,6
1947,8
1948,5
1949,6
1950,0
1951,8
1952,10
1953,0
1954,0
1955,5
1956,0
1957,0
1958,0
1959,6
1960,0
1961,6
1962,0
1963,0
1964,9
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,7
1975,0
1976,5
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,7
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
